"specie","longitude","latitude"
"Potamorhina pristigaster",-61.6875,-6.629167
"Potamorhina pristigaster",-69.96,-1.28
"Potamorhina pristigaster",-59.9125,-3.145833
"Potamorhina pristigaster",-64.720593,-2.449524
"Potamorhina pristigaster",-71.820833,-3.345833
"Potamorhina pristigaster",-63.195833,-7.529167
"Potamorhina pristigaster",-70.479167,-3.7625
"Potamorhina pristigaster",-74.504167,-5.2875
"Potamorhina pristigaster",-74.4625,-5.3375
"Potamorhina pristigaster",-70.279167,-4.4875
"Potamorhina pristigaster",-70.429167,-3.795833
"Potamorhina pristigaster",-73.170833,-3.7625
"Potamorhina pristigaster",-63.229167,-5.720833
"Potamorhina pristigaster",-58.916667,-3.616111
"Potamorhina pristigaster",-74.506317,-5.397444
"Potamorhina pristigaster",-64.695833,-2.504167
"Potamorhina pristigaster",-61.954167,-4.195833
"Potamorhina pristigaster",-63.1125,-4.879167
"Potamorhina pristigaster",-61.4625,-3.704167
"Potamorhina pristigaster",-58.520833,-3.1625
"Potamorhina pristigaster",-58.945556,-3.489167
"Potamorhina pristigaster",-62.404167,-7.279167
"Potamorhina pristigaster",-59.104167,-3.879167
"Potamorhina pristigaster",-63.1375,-7.5125
"Potamorhina pristigaster",-60.2875,-3.104167
"Potamorhina pristigaster",-69.245833,-8.820833
"Potamorhina pristigaster",-70.5875,-3.7375
"Potamorhina pristigaster",-64.570833,-6.604167
"Potamorhina pristigaster",-61.454167,-1.945833
"Potamorhina pristigaster",-62.870833,-7.1125
"Potamorhina pristigaster",-61.379167,-3.8875
"Potamorhina pristigaster",-57.7125,-3.404167
"Potamorhina pristigaster",-60.445833,-3.429167
"Potamorhina pristigaster",-60.283333,-3.416667
"Potamorhina pristigaster",-63.23946,-6.35499
"Potamorhina pristigaster",-64.579167,-6.595833
"Potamorhina pristigaster",-64.758333,-3.408333
"Potamorhina pristigaster",-64.345833,-6.3375
"Potamorhina pristigaster",-70.2625,-4.3705
"Potamorhina pristigaster",-60.755833,-3.456111
"Potamorhina pristigaster",-60.9442,-2.62139
"Potamorhina pristigaster",-58.4375,-3.154167
"Potamorhina pristigaster",-60.6375,-3.220833
"Potamorhina pristigaster",-60.195833,-3.2875
"Potamorhina pristigaster",-60.645833,-3.2875
"Potamorhina pristigaster",-60.104167,-3.195833
"Potamorhina pristigaster",-63.195833,-5.629167
"Potamorhina pristigaster",-72.0875,-2.970833
"Potamorhina pristigaster",-63.880833,-3.861667
"Potamorhina pristigaster",-58.479167,-3.995833
"Potamorhina pristigaster",-61.356111,-5.868333
"Potamorhina pristigaster",-60.220833,-3.254167
"Potamorhina pristigaster",-61.254167,1.504167
"Potamorhina pristigaster",-61.304167,-5.820833
"Potamorhina pristigaster",-58.991944,-3.494722
"Potamorhina pristigaster",-60.870833,-3.170833
"Potamorhina pristigaster",-69.504167,-1.920833
"Potamorhina pristigaster",-62.879653,-8.538811
"Potamorhina pristigaster",-69.955472,-1.277944
"Potamorhina pristigaster",-73.770833,-4.895833
"Potamorhina pristigaster",-61.454167,-1.6125
"Potamorhina pristigaster",-58.429167,-3.154167
