"specie","longitude","latitude"
"Potamorhina squamoralevis",-56.329167,-19.6125
"Potamorhina squamoralevis",-56.9875,-19.579167
"Potamorhina squamoralevis",-57.654167,-18.995833
"Potamorhina squamoralevis",-57.820833,-19.220833
"Potamorhina squamoralevis",-57.854167,-21.129167
"Potamorhina squamoralevis",-60.604167,-32.9625
"Potamorhina squamoralevis",-56.183333,-21.216667
"Potamorhina squamoralevis",-57.704167,-16.875
"Potamorhina squamoralevis",-57.845833,-22.445833
"Potamorhina squamoralevis",-55.820833,-16.4125
"Potamorhina squamoralevis",-55.923222,-16.453889
"Potamorhina squamoralevis",-54.920833,-17.854167
"Potamorhina squamoralevis",-56.7125,-16.6125
"Potamorhina squamoralevis",-54.76,-18.5067
"Potamorhina squamoralevis",-57.420833,-19.420833
"Potamorhina squamoralevis",-60.6875,-32.870833
"Potamorhina squamoralevis",-56.729167,-16.6375
"Potamorhina squamoralevis",-56.245833,-14.704167
"Potamorhina squamoralevis",-57.379167,-19.6625
"Potamorhina squamoralevis",-56.379167,-15.9125
"Potamorhina squamoralevis",-56.370833,-16.529167
"Potamorhina squamoralevis",-57.970833,-21.4375
"Potamorhina squamoralevis",-54.254167,-24.504167
"Potamorhina squamoralevis",-55.797778,-14.872222
"Potamorhina squamoralevis",-55.979167,-16.279167
"Potamorhina squamoralevis",-56.291157,-16.370493
"Potamorhina squamoralevis",-54.595833,-25.545833
"Potamorhina squamoralevis",-57.7125,-16.4375
"Potamorhina squamoralevis",-56.870833,-15.854167
"Potamorhina squamoralevis",-56.2625,-15.8625
"Potamorhina squamoralevis",-56.995833,-19.620833
"Potamorhina squamoralevis",-56.9875,-19.570833
"Potamorhina squamoralevis",-57.579167,-25.5125
"Potamorhina squamoralevis",-54.583332,-25.433332
"Potamorhina squamoralevis",-57.920833,-20.904167
"Potamorhina squamoralevis",-55.700661,-14.982111
"Potamorhina squamoralevis",-57.454167,-19.520833
"Potamorhina squamoralevis",-57.6875,-16.6875
"Potamorhina squamoralevis",-55.950001,-16.183332
"Potamorhina squamoralevis",-57.5125,-19.5875
"Potamorhina squamoralevis",-56.604167,-16.229167
"Potamorhina squamoralevis",-60.704167,-32.579167
"Potamorhina squamoralevis",-55.665833,-14.781389
"Potamorhina squamoralevis",-55.645833,-19.495833
"Potamorhina squamoralevis",-60.404167,-24.754167
"Potamorhina squamoralevis",-54.6125,-25.445833
"Potamorhina squamoralevis",-54.583622,-25.591881
"Potamorhina squamoralevis",-57.870833,-21.4125
"Potamorhina squamoralevis",-57.3125,-19.404167
"Potamorhina squamoralevis",-56.170833,-16.4625
"Potamorhina squamoralevis",-62.445833,-24.404167
"Potamorhina squamoralevis",-56.379167,-20.229167
"Potamorhina squamoralevis",-55.795833,-20.4625
"Potamorhina squamoralevis",-55.970833,-16.195833
"Potamorhina squamoralevis",-55.679167,-20.745833
"Potamorhina squamoralevis",-57.594222,-16.946028
"Potamorhina squamoralevis",-56.7125,-17.295833
"Potamorhina squamoralevis",-54.743611,-18.558889
"Potamorhina squamoralevis",-60.22466,-33.316631
"Potamorhina squamoralevis",-57.870833,-21.695833
"Potamorhina squamoralevis",-57.970833,-21.845833
"Potamorhina squamoralevis",-54.266666,-24.66668
"Potamorhina squamoralevis",-60.245833,-33.3375
"Potamorhina squamoralevis",-57.929167,-20.795833
"Potamorhina squamoralevis",-56.247083,-19.576028
"Potamorhina squamoralevis",-54.267,-24.67
"Potamorhina squamoralevis",-57.304167,-23.895833
"Potamorhina squamoralevis",-63.6625,-23.379167
"Potamorhina squamoralevis",-57.220833,-23.4625
"Potamorhina squamoralevis",-59.220833,-23.2875
"Potamorhina squamoralevis",-57.854167,-22.404167
"Potamorhina squamoralevis",-56.1875,-21.2125
"Potamorhina squamoralevis",-57.870833,-21.3625
"Potamorhina squamoralevis",-55.804167,-20.470833
"Potamorhina squamoralevis",-55.979167,-20.458333
"Potamorhina squamoralevis",-57.295833,-19.654167
"Potamorhina squamoralevis",-56.984,-19.584
"Potamorhina squamoralevis",-57.2625,-19.5875
"Potamorhina squamoralevis",-57.2375,-19.570833
"Potamorhina squamoralevis",-57.8875,-19.504167
"Potamorhina squamoralevis",-57.3375,-19.5125
"Potamorhina squamoralevis",-57.417,-19.417
"Potamorhina squamoralevis",-57.755,-18.976
"Potamorhina squamoralevis",-57.795833,-18.945833
"Potamorhina squamoralevis",-57.845833,-18.945833
"Potamorhina squamoralevis",-57.818,-18.937
"Potamorhina squamoralevis",-54.76,-18.507
"Potamorhina squamoralevis",-59.707,-16.624
"Potamorhina squamoralevis",-56.2875,-16.379167
"Potamorhina squamoralevis",-55.920833,-16.3125
"Potamorhina squamoralevis",-56.620833,-16.220833
"Potamorhina squamoralevis",-55.8625,-16.229167
"Potamorhina squamoralevis",-55.954167,-16.179167
"Potamorhina squamoralevis",-57.754167,-16.8875
"Potamorhina squamoralevis",-57.704167,-16.745833
"Potamorhina squamoralevis",-57.683,-16.67
"Potamorhina squamoralevis",-57.745833,-16.520833
"Potamorhina squamoralevis",-55.701,-14.983
"Potamorhina squamoralevis",-55.798,-14.873
"Potamorhina squamoralevis",-55.666,-14.782
"Potamorhina squamoralevis",-58.320833,-24.704167
"Potamorhina squamoralevis",-58.2375,-24.320833
"Potamorhina squamoralevis",-58.291667,-24.570833
"Potamorhina squamoralevis",-57.745833,-25.2125
"Potamorhina squamoralevis",-57.6625,-25.270833
"Potamorhina squamoralevis",-57.645833,-25.2625
"Potamorhina squamoralevis",-57.345833,-25.695833
"Potamorhina squamoralevis",-57.245833,-27.3875
"Potamorhina squamoralevis",-57.104167,-23.4625
"Potamorhina squamoralevis",-54.6375,-26.429167
"Potamorhina squamoralevis",-54.5875,-25.645833
"Potamorhina squamoralevis",-57.879167,-21.695833
"Potamorhina squamoralevis",-54.979967,-19.387334
"Potamorhina squamoralevis",-54.583333,-25.416667
"Potamorhina squamoralevis",-54.583333,-25.433333
"Potamorhina squamoralevis",-57.683333,-16.666667
"Potamorhina squamoralevis",-56.716667,-17.3
"Potamorhina squamoralevis",-57.854167,-21.3125
"Potamorhina squamoralevis",-54.266667,-24.666667
"Potamorhina squamoralevis",-57.416667,-19.416667
