"specie","longitude","latitude"
"Psectrogaster amazonica",-59.795833,-3.220833
"Psectrogaster amazonica",-69.954167,-4.204167
"Psectrogaster amazonica",-60.6375,-3.220833
"Psectrogaster amazonica",-61.8125,-9.3625
"Psectrogaster amazonica",-62.374639,-8.664556
"Psectrogaster amazonica",-47.483333,-6.616667
"Psectrogaster amazonica",-67.866389,-5.905556
"Psectrogaster amazonica",-65.954167,-2.5625
"Psectrogaster amazonica",-75.495833,0.554167
"Psectrogaster amazonica",-58.5625,-3.770833
"Psectrogaster amazonica",-51.8625,-15.7125
"Psectrogaster amazonica",-74.304167,-5.204167
"Psectrogaster amazonica",-62.945833,-7.745833
"Psectrogaster amazonica",-73.2875,-3.729167
"Psectrogaster amazonica",-47.579167,-6.3875
"Psectrogaster amazonica",-60.283333,-3.416667
"Psectrogaster amazonica",-60.579167,-5.2125
"Psectrogaster amazonica",-73.24819,-3.75878
"Psectrogaster amazonica",-75.15611,-6.912739
"Psectrogaster amazonica",-67.745833,-2.770833
"Psectrogaster amazonica",-55.4625,-2.170833
"Psectrogaster amazonica",-69.946982,-4.224876
"Psectrogaster amazonica",-69.954167,-4.145833
"Psectrogaster amazonica",-69.729167,-4.229167
"Psectrogaster amazonica",-70.2875,-4.3625
"Psectrogaster amazonica",-60.754167,-2.679167
"Psectrogaster amazonica",-63.1125,-4.879167
"Psectrogaster amazonica",-73.2454,-3.764291
"Psectrogaster amazonica",-66.804167,-2.504167
"Psectrogaster amazonica",-55.495833,-1.8375
"Psectrogaster amazonica",-69.95795,-4.202173
"Psectrogaster amazonica",-47.4375,-6.5625
"Psectrogaster amazonica",-59.8625,-3.879167
"Psectrogaster amazonica",-66.895833,-4.8875
"Psectrogaster amazonica",-63.1375,-4.145833
"Psectrogaster amazonica",-54.845833,-2.179167
"Psectrogaster amazonica",-62.201861,-8.837194
"Psectrogaster amazonica",-49.920833,-12.745833
"Psectrogaster amazonica",-69.954167,-4.2125
"Psectrogaster amazonica",-69,-9.33
"Psectrogaster amazonica",-49.6875,-3.745833
"Psectrogaster amazonica",-49.720833,-5.670833
"Psectrogaster amazonica",-50.9875,-14.370833
"Psectrogaster amazonica",-50.304722,-5.668611
"Psectrogaster amazonica",-60.305306,-3.523587
"Psectrogaster amazonica",-70.254167,-3.820833
"Psectrogaster amazonica",-74.5125,-5.3875
"Psectrogaster amazonica",-73.7625,-4.920833
"Psectrogaster amazonica",-50.8125,-15.2625
"Psectrogaster amazonica",-52.8625,-11.9125
"Psectrogaster amazonica",-75.495833,-1.395833
"Psectrogaster amazonica",-63.695833,-9.945833
"Psectrogaster amazonica",-67.970833,-3.129167
"Psectrogaster amazonica",-60.429167,-3.254167
"Psectrogaster amazonica",-74.504167,-5.2875
"Psectrogaster amazonica",-67.29,-5.440278
"Psectrogaster amazonica",-50.6,-13.25
"Psectrogaster amazonica",-71.820833,-3.345833
"Psectrogaster amazonica",-48.3875,-6.1375
"Psectrogaster amazonica",-68.929167,-3.570833
"Psectrogaster amazonica",-60.3625,-3.820833
"Psectrogaster amazonica",-74.504167,-4.9125
"Psectrogaster amazonica",-70.254167,-7.5125
"Psectrogaster amazonica",-63.880833,-3.861667
"Psectrogaster amazonica",-68.179167,-10.454167
"Psectrogaster amazonica",-64.120833,-3.754167
"Psectrogaster amazonica",-70.533333,-3.916667
"Psectrogaster amazonica",-51.52691,-9.83971
"Psectrogaster amazonica",-51.895701,-14.928686
"Psectrogaster amazonica",-60.104167,-3.195833
"Psectrogaster amazonica",-74.8625,-5.295833
"Psectrogaster amazonica",-62.670833,-3.854167
"Psectrogaster amazonica",-61.356111,-5.868333
"Psectrogaster amazonica",-50.445,-5.613056
"Psectrogaster amazonica",-50.607778,-13.276389
"Psectrogaster amazonica",-51.831111,-16.551667
"Psectrogaster amazonica",-76.954167,0.4375
"Psectrogaster amazonica",-76.0875,0.420833
"Psectrogaster amazonica",-70.454167,-3.795833
"Psectrogaster amazonica",-60.1875,-3.354167
"Psectrogaster amazonica",-66.789036,-2.746066
"Psectrogaster amazonica",-59.829167,-2.920833
"Psectrogaster amazonica",-73.24911,-3.7654
"Psectrogaster amazonica",-73.170833,-3.7625
"Psectrogaster amazonica",-59.395833,-3.2625
"Psectrogaster amazonica",-72.6625,-7.6375
"Psectrogaster amazonica",-62.404167,-7.279167
"Psectrogaster amazonica",-50.604167,-13.345833
"Psectrogaster amazonica",-64.758333,-3.408333
"Psectrogaster amazonica",-46.845833,-13.6125
"Psectrogaster amazonica",-62.333611,-6.710556
"Psectrogaster amazonica",-48.295833,-6.1125
"Psectrogaster amazonica",-62.870833,-7.1125
"Psectrogaster amazonica",-74.1667,-4.8333
"Psectrogaster amazonica",-67.479167,-5.504167
"Psectrogaster amazonica",-61.4625,-3.704167
"Psectrogaster amazonica",-48.362778,-9.754722
"Psectrogaster amazonica",-70.6875,-3.7875
"Psectrogaster amazonica",-51.3225,-15.934444
"Psectrogaster amazonica",-62.9875,-4.995833
"Psectrogaster amazonica",-63.4375,-5.479167
"Psectrogaster amazonica",-47.500371,-14.429145
"Psectrogaster amazonica",-71.8625,-3.329167
"Psectrogaster amazonica",-64.845833,-3.370833
"Psectrogaster amazonica",-50.5875,-13.2375
"Psectrogaster amazonica",-70.412852,-3.802734
"Psectrogaster amazonica",-69.945833,-4.129167
"Psectrogaster amazonica",-48.168722,-13.300722
"Psectrogaster amazonica",-54.366111,-1.610556
"Psectrogaster amazonica",-72.854167,-3.454167
"Psectrogaster amazonica",-70.2625,-4.3705
"Psectrogaster amazonica",-63.195833,-5.629167
"Psectrogaster amazonica",-47.370833,-13.270833
"Psectrogaster amazonica",-48.654167,-11.8375
"Psectrogaster amazonica",-76.204595,1.420326
"Psectrogaster amazonica",-55.145833,-2.104167
"Psectrogaster amazonica",-69.979167,-3.1125
"Psectrogaster amazonica",-72.7875,-8.945833
"Psectrogaster amazonica",-70.329167,-4.3375
"Psectrogaster amazonica",-69.940556,-4.215278
"Psectrogaster amazonica",-48.420833,-10.720833
"Psectrogaster amazonica",-61.304167,-5.820833
"Psectrogaster amazonica",-55.870833,-1.770833
"Psectrogaster amazonica",-60.2875,-3.104167
"Psectrogaster amazonica",-58.916667,-3.616111
"Psectrogaster amazonica",-61.427389,-3.822444
"Psectrogaster amazonica",-49.970833,-9.279167
"Psectrogaster amazonica",-63.1375,-7.5125
"Psectrogaster amazonica",-61.6875,-6.629167
"Psectrogaster amazonica",-70.379167,-3.779167
"Psectrogaster amazonica",-58.995833,-3.2375
"Psectrogaster amazonica",-63.3875,-8.304167
"Psectrogaster amazonica",-49.279167,-5.3375
"Psectrogaster amazonica",-60.82936,1.43216
"Psectrogaster amazonica",-71.220833,-3.179167
"Psectrogaster amazonica",-74.954167,0.904167
"Psectrogaster amazonica",-59.945833,-3.970833
"Psectrogaster amazonica",-72.695833,-8.9875
"Psectrogaster amazonica",-66.954167,-2.7375
"Psectrogaster amazonica",-70.845833,-4.245833
"Psectrogaster amazonica",-72.395833,-9.354167
"Psectrogaster amazonica",-48.495833,-11.204167
"Psectrogaster amazonica",-74.779738,0.213304
"Psectrogaster amazonica",-57.76,-2.53639
"Psectrogaster amazonica",-61.958333,-5.629167
"Psectrogaster amazonica",-58.920833,-3.395833
"Psectrogaster amazonica",-50.454167,-13.579167
"Psectrogaster amazonica",-50.595833,-13.1625
"Psectrogaster amazonica",-48.420556,-10.720833
"Psectrogaster amazonica",-70.366392,-3.783645
"Psectrogaster amazonica",-60.445833,-3.429167
"Psectrogaster amazonica",-48.739722,-5.393611
"Psectrogaster amazonica",-59.928333,-3.156111
"Psectrogaster amazonica",-72.5625,-1.1625
"Psectrogaster amazonica",-73.3155,-3.755807
"Psectrogaster amazonica",-60.454167,-3.420833
"Psectrogaster amazonica",-48.366667,-10.794167
"Psectrogaster amazonica",-70.291667,-4.354167
"Psectrogaster amazonica",-76.458333,-5.9625
"Psectrogaster amazonica",-75.149123,-6.898436
"Psectrogaster amazonica",-50.798781,-13.666682
"Psectrogaster amazonica",-63.195833,-7.529167
"Psectrogaster amazonica",-66.9875,-7.720833
"Psectrogaster amazonica",-62.995833,-5.004167
"Psectrogaster amazonica",-49.195833,-5.379167
"Psectrogaster amazonica",-59.104167,-3.879167
"Psectrogaster amazonica",-54.995833,-9.995833
"Psectrogaster amazonica",-72.404167,-9.220833
"Psectrogaster amazonica",-70.429167,-3.795833
"Psectrogaster amazonica",-75.8375,-1.629167
"Psectrogaster amazonica",-50.970833,-16.220833
"Psectrogaster amazonica",-50.879167,-15.395833
"Psectrogaster amazonica",-64.9125,-14.870833
"Psectrogaster amazonica",-63.195833,-5.620833
"Psectrogaster amazonica",-60.4125,-3.254167
"Psectrogaster amazonica",-50.5875,-13.3625
"Psectrogaster amazonica",-50.566667,-13.216667
"Psectrogaster amazonica",-50.2625,-13.770833
"Psectrogaster amazonica",-47.500381,-14.429145
"Psectrogaster amazonica",-46.854167,-13.620833
"Psectrogaster amazonica",-47.366667,-13.266667
"Psectrogaster amazonica",-62.120833,-10.195833
"Psectrogaster amazonica",-49.9125,-12.754167
"Psectrogaster amazonica",-72.704167,-8.9875
"Psectrogaster amazonica",-50.798782,-13.666682
"Psectrogaster amazonica",-51.8625,-15.720833
"Psectrogaster amazonica",-55.866667,-1.766667
"Psectrogaster amazonica",-60.179167,-3.354167
"Psectrogaster amazonica",-57.7625,-2.5375
"Psectrogaster amazonica",-64.670833,-7.154167
