"specie","longitude","latitude"
"Psectrogaster ciliata",-70.9875,2.754167
"Psectrogaster ciliata",-58.845833,5.404167
"Psectrogaster ciliata",-59.833989,3.448191
"Psectrogaster ciliata",-72.960108,-3.607081
"Psectrogaster ciliata",-59.354167,3.304167
"Psectrogaster ciliata",-58.554029,5.980685
"Psectrogaster ciliata",-59.1625,5.2875
"Psectrogaster ciliata",-59.946091,-3.239697
"Psectrogaster ciliata",-66.751557,4.121295
"Psectrogaster ciliata",-59.220833,3.9375
"Psectrogaster ciliata",-58.55528,5.97611
"Psectrogaster ciliata",-63.441161,8.197168
"Psectrogaster ciliata",-70.704167,5.354167
"Psectrogaster ciliata",-60.26667,-3.41667
"Psectrogaster ciliata",-63.1375,-4.145833
"Psectrogaster ciliata",-67.40694,6.544445
"Psectrogaster ciliata",-60.220833,-3.254167
"Psectrogaster ciliata",-64.979167,7.4375
"Psectrogaster ciliata",-63.4375,8.195833
"Psectrogaster ciliata",-67.820833,6.279167
"Psectrogaster ciliata",-65.90577,2.837192
"Psectrogaster ciliata",-72.695833,4.320833
"Psectrogaster ciliata",-60.3625,-3.820833
"Psectrogaster ciliata",-62.18,8.72
"Psectrogaster ciliata",-65.723266,1.591877
"Psectrogaster ciliata",-67.427649,6.216603
"Psectrogaster ciliata",-59.2875,3.895833
"Psectrogaster ciliata",-66.2875,5.370833
"Psectrogaster ciliata",-67.4125,6.179167
"Psectrogaster ciliata",-71.9125,5.545833
"Psectrogaster ciliata",-67.8375,5.320833
"Psectrogaster ciliata",-60.979167,1.920833
"Psectrogaster ciliata",-66.695833,7.6625
"Psectrogaster ciliata",-65.199663,7.414115
"Psectrogaster ciliata",-70.958333,5.670833
"Psectrogaster ciliata",-70.927972,5.660389
"Psectrogaster ciliata",-61.420833,8.4625
"Psectrogaster ciliata",-72.4125,4.895833
"Psectrogaster ciliata",-60.979167,1.945833
"Psectrogaster ciliata",-66.179167,5.445833
"Psectrogaster ciliata",-71.49,5.662278
"Psectrogaster ciliata",-71.8625,-3.329167
"Psectrogaster ciliata",-72.413611,4.893333
"Psectrogaster ciliata",-67.4875,7.8875
"Psectrogaster ciliata",-59.988552,3.920595
"Psectrogaster ciliata",-64.304167,-12.5375
"Psectrogaster ciliata",-66.190745,5.144909
"Psectrogaster ciliata",-67.420833,6.545833
"Psectrogaster ciliata",-66.454167,3.679167
"Psectrogaster ciliata",-71.80208,4.55242
"Psectrogaster ciliata",-69.2625,7.5625
"Psectrogaster ciliata",-64.895833,7.629167
"Psectrogaster ciliata",-71.520833,6.2125
"Psectrogaster ciliata",-65.220833,7.1125
"Psectrogaster ciliata",-71.795833,5.254167
"Psectrogaster ciliata",-73.9125,2.2125
"Psectrogaster ciliata",-59.795833,-3.220833
"Psectrogaster ciliata",-71.329167,4.779167
"Psectrogaster ciliata",-67.429167,5.995833
"Psectrogaster ciliata",-68.3625,4.104167
"Psectrogaster ciliata",-62.2375,8.654167
"Psectrogaster ciliata",-73.89536,-3.49618
"Psectrogaster ciliata",-68.779167,5.8375
"Psectrogaster ciliata",-67.7625,7.320833
"Psectrogaster ciliata",-64.851183,6.947614
"Psectrogaster ciliata",-58.683333,4.683333
"Psectrogaster ciliata",-58.474612,4.138448
"Psectrogaster ciliata",-67.495833,6.104167
"Psectrogaster ciliata",-69.820833,6.3125
"Psectrogaster ciliata",-67.39,6.531667
"Psectrogaster ciliata",-71.429167,5.645833
"Psectrogaster ciliata",-66.2083,5.10592
"Psectrogaster ciliata",-71.80208,4.552417
"Psectrogaster ciliata",-68.6125,3.779167
"Psectrogaster ciliata",-69.504167,7.5125
"Psectrogaster ciliata",-59.520833,2.829167
"Psectrogaster ciliata",-60.3625,-3.2125
"Psectrogaster ciliata",-58.779167,3.829167
"Psectrogaster ciliata",-72.4375,4.354167
"Psectrogaster ciliata",-68.800611,5.822444
"Psectrogaster ciliata",-73.629997,2.350667
"Psectrogaster ciliata",-68.5125,5.7375
"Psectrogaster ciliata",-58.5875,4.570833
"Psectrogaster ciliata",-73.18,3.1
"Psectrogaster ciliata",-66.120833,5.445833
"Psectrogaster ciliata",-70.29,5.56
"Psectrogaster ciliata",-67.829167,6.270833
"Psectrogaster ciliata",-61.995833,8.679167
