"specie","longitude","latitude"
"Psectrogaster curviventris",-57.679167,-25.304167
"Psectrogaster curviventris",-58.1625,-20.229167
"Psectrogaster curviventris",-60.704167,-32.579167
"Psectrogaster curviventris",-56.7125,-16.6125
"Psectrogaster curviventris",-57.920833,-20.904167
"Psectrogaster curviventris",-57.9167,-21.45
"Psectrogaster curviventris",-58.720833,-24.620833
"Psectrogaster curviventris",-57.520833,-25.104167
"Psectrogaster curviventris",-57.329167,-24.704167
"Psectrogaster curviventris",-57.370833,-19.4375
"Psectrogaster curviventris",-55.454167,-15.5125
"Psectrogaster curviventris",-57.654167,-18.995833
"Psectrogaster curviventris",-56.9875,-19.579167
"Psectrogaster curviventris",-57.381494,-17.827158
"Psectrogaster curviventris",-55.9675,-16.1944
"Psectrogaster curviventris",-57.970833,-21.4375
"Psectrogaster curviventris",-55.820833,-16.4125
"Psectrogaster curviventris",-57.5125,-19.5875
"Psectrogaster curviventris",-54.920833,-17.854167
"Psectrogaster curviventris",-57.2125,-19.470833
"Psectrogaster curviventris",-55.970833,-16.195833
"Psectrogaster curviventris",-56.720833,-27.495833
"Psectrogaster curviventris",-57.594222,-16.946028
"Psectrogaster curviventris",-56.2875,-16.370833
"Psectrogaster curviventris",-56.870833,-15.854167
"Psectrogaster curviventris",-56.77,-17.36
"Psectrogaster curviventris",-57.42,-25.145
"Psectrogaster curviventris",-56.291157,-16.370493
"Psectrogaster curviventris",-57.5625,-25.195833
"Psectrogaster curviventris",-55.979167,-16.279167
"Psectrogaster curviventris",-56.245833,-14.704167
"Psectrogaster curviventris",-57.279167,-25.3375
"Psectrogaster curviventris",-57.970833,-21.845833
"Psectrogaster curviventris",-54.583622,-25.591881
"Psectrogaster curviventris",-54.316666,-24.166666
"Psectrogaster curviventris",-57.395833,-23.579167
"Psectrogaster curviventris",-57.845833,-21.4875
"Psectrogaster curviventris",-57.779167,-22.629167
"Psectrogaster curviventris",-56.9,-27.5
"Psectrogaster curviventris",-57.6625,-25.270833
"Psectrogaster curviventris",-55.8125,-27.4625
"Psectrogaster curviventris",-58.445833,-23.9625
"Psectrogaster curviventris",-57.454167,-17.854167
"Psectrogaster curviventris",-56.170833,-16.4625
"Psectrogaster curviventris",-55.641111,-14.8075
"Psectrogaster curviventris",-56.6625,-16.4375
"Psectrogaster curviventris",-59.6375,-33.670833
"Psectrogaster curviventris",-55.950001,-16.183332
"Psectrogaster curviventris",-57.704167,-16.875
"Psectrogaster curviventris",-57.8625,-16.645833
"Psectrogaster curviventris",-54.595833,-25.545833
"Psectrogaster curviventris",-58.454167,-15.854167
"Psectrogaster curviventris",-55.969635,-16.196333
"Psectrogaster curviventris",-57.420833,-19.420833
"Psectrogaster curviventris",-57.71,-25.263333
"Psectrogaster curviventris",-55.679167,-20.745833
"Psectrogaster curviventris",-57.45,-23.455
"Psectrogaster curviventris",-59.395833,-26.3875
"Psectrogaster curviventris",-56.379167,-20.229167
"Psectrogaster curviventris",-57.929167,-20.795833
"Psectrogaster curviventris",-60.22466,-33.316631
"Psectrogaster curviventris",-56.966667,-19.683332
"Psectrogaster curviventris",-56.979167,-19.6375
"Psectrogaster curviventris",-55.795381,-14.873292
"Psectrogaster curviventris",-54.573611,-18.711667
"Psectrogaster curviventris",-57.625,-26.395833
"Psectrogaster curviventris",-57.5125,-19.270833
"Psectrogaster curviventris",-56.245833,-19.570833
"Psectrogaster curviventris",-56.604167,-16.229167
"Psectrogaster curviventris",-57.595833,-25.779167
"Psectrogaster curviventris",-56.2375,-16.254167
"Psectrogaster curviventris",-57.579167,-25.5125
"Psectrogaster curviventris",-58.320833,-24.220833
"Psectrogaster curviventris",-55.795833,-20.4625
"Psectrogaster curviventris",-57.253,-24.168
"Psectrogaster curviventris",-54.317,-24.167
"Psectrogaster curviventris",-57.276,-24.152
"Psectrogaster curviventris",-60.1125,-24.970833
"Psectrogaster curviventris",-57.229167,-23.9625
"Psectrogaster curviventris",-57.7625,-23.8375
"Psectrogaster curviventris",-57.4375,-23.779167
"Psectrogaster curviventris",-56.717,-23.75
"Psectrogaster curviventris",-57.4625,-23.629167
"Psectrogaster curviventris",-57.4375,-23.6125
"Psectrogaster curviventris",-57.820833,-23.604167
"Psectrogaster curviventris",-63.745833,-23.345833
"Psectrogaster curviventris",-57.220833,-23.4625
"Psectrogaster curviventris",-58.4125,-22.1125
"Psectrogaster curviventris",-57.9375,-22.879167
"Psectrogaster curviventris",-57.895833,-21.6875
"Psectrogaster curviventris",-57.917,-21.45
"Psectrogaster curviventris",-57.870833,-21.4125
"Psectrogaster curviventris",-55.804167,-20.470833
"Psectrogaster curviventris",-58.3125,-20.7875
"Psectrogaster curviventris",-55.979167,-20.458333
"Psectrogaster curviventris",-56.970833,-19.679167
"Psectrogaster curviventris",-56.967,-19.683
"Psectrogaster curviventris",-57.295833,-19.654167
"Psectrogaster curviventris",-56.984,-19.584
"Psectrogaster curviventris",-57.2625,-19.5875
"Psectrogaster curviventris",-57.8875,-19.504167
"Psectrogaster curviventris",-57.3375,-19.5125
"Psectrogaster curviventris",-57.220833,-19.470833
"Psectrogaster curviventris",-57.367,-19.434
"Psectrogaster curviventris",-57.417,-19.417
"Psectrogaster curviventris",-57.726,-18.98
"Psectrogaster curviventris",-57.795833,-18.945833
"Psectrogaster curviventris",-57.382,-17.828
"Psectrogaster curviventris",-56.2875,-16.379167
"Psectrogaster curviventris",-55.904167,-16.329167
"Psectrogaster curviventris",-55.920833,-16.3125
"Psectrogaster curviventris",-55.867,-16.267
"Psectrogaster curviventris",-56.620833,-16.220833
"Psectrogaster curviventris",-55.8625,-16.229167
"Psectrogaster curviventris",-55.968,-16.195
"Psectrogaster curviventris",-55.968,-16.194
"Psectrogaster curviventris",-55.954167,-16.179167
"Psectrogaster curviventris",-55.796,-14.874
"Psectrogaster curviventris",-55.6375,-14.804167
"Psectrogaster curviventris",-58.454167,-27.1625
"Psectrogaster curviventris",-58.320833,-24.704167
"Psectrogaster curviventris",-58.295833,-26.854167
"Psectrogaster curviventris",-58.2375,-24.320833
"Psectrogaster curviventris",-58.291667,-24.570833
"Psectrogaster curviventris",-57.729167,-16.7375
"Psectrogaster curviventris",-57.645833,-25.2625
"Psectrogaster curviventris",-57.570833,-25.429167
"Psectrogaster curviventris",-57.470833,-25.104167
"Psectrogaster curviventris",-57.245833,-23.4875
"Psectrogaster curviventris",-57.245833,-27.3875
"Psectrogaster curviventris",-56.445833,-25.6125
"Psectrogaster curviventris",-55.754167,-27.445833
"Psectrogaster curviventris",-55.1375,-26.8625
"Psectrogaster curviventris",-54.6375,-26.429167
"Psectrogaster curviventris",-57.160525,-21.772418
"Psectrogaster curviventris",-57.904167,-21.679167
"Psectrogaster curviventris",-54.979967,-19.387334
"Psectrogaster curviventris",-54.5875,-25.554167
"Psectrogaster curviventris",-57.845833,-22.4875
"Psectrogaster curviventris",-57.916667,-21.45
"Psectrogaster curviventris",-54.316667,-24.166667
"Psectrogaster curviventris",-57.416667,-19.416667
"Psectrogaster curviventris",-56.966667,-19.683333
