"specie","longitude","latitude"
"Psectrogaster essequibensis",-63.16317,-12.80566
"Psectrogaster essequibensis",-63.695833,-9.945833
"Psectrogaster essequibensis",-59.679167,3.620833
"Psectrogaster essequibensis",-58.770833,2.670833
"Psectrogaster essequibensis",-58.756389,4.759167
"Psectrogaster essequibensis",-62.8625,-8.785956
"Psectrogaster essequibensis",-58.520833,-3.8625
"Psectrogaster essequibensis",-60.2485,6.87464
"Psectrogaster essequibensis",-58.908933,5.304058
"Psectrogaster essequibensis",-67.915278,-5.786667
"Psectrogaster essequibensis",-65.663,-11.631
"Psectrogaster essequibensis",-73.359466,-3.824793
"Psectrogaster essequibensis",-72.820833,-7.604167
"Psectrogaster essequibensis",-60.220833,-3.254167
"Psectrogaster essequibensis",-75.495833,-1.395833
"Psectrogaster essequibensis",-58.29379,2.22654
"Psectrogaster essequibensis",-74.304167,-5.204167
"Psectrogaster essequibensis",-57.1625,-6.154167
"Psectrogaster essequibensis",-63.154167,-13.254167
"Psectrogaster essequibensis",-58.474612,4.138448
"Psectrogaster essequibensis",-58.7875,4.754167
"Psectrogaster essequibensis",-58.374341,2.257795
"Psectrogaster essequibensis",-70.373246,-3.781311
"Psectrogaster essequibensis",-61.120833,1.8125
"Psectrogaster essequibensis",-59.1625,5.2875
"Psectrogaster essequibensis",-64.666946,-2.545
"Psectrogaster essequibensis",-74.4625,-5.3375
"Psectrogaster essequibensis",-61.420833,-13.5625
"Psectrogaster essequibensis",-63.92746,-12.51182
"Psectrogaster essequibensis",-72.390278,-4.834444
"Psectrogaster essequibensis",-58.590629,4.570688
"Psectrogaster essequibensis",-74.5125,-5.3875
"Psectrogaster essequibensis",-63.554167,-13.3125
"Psectrogaster essequibensis",-64.3875,-9.254167
"Psectrogaster essequibensis",-58.22058,3.35294
"Psectrogaster essequibensis",-56.96579,-9.23209
"Psectrogaster essequibensis",-70.412852,-3.802734
"Psectrogaster essequibensis",-73.104463,-3.481106
"Psectrogaster essequibensis",-56.254167,-4.445833
"Psectrogaster essequibensis",-57.403492,-5.783525
"Psectrogaster essequibensis",-63.25462,-13.17601
"Psectrogaster essequibensis",-58.55528,5.97611
"Psectrogaster essequibensis",-63.779167,-13.7125
"Psectrogaster essequibensis",-59.304167,3.845833
"Psectrogaster essequibensis",-73.3625,-3.820833
"Psectrogaster essequibensis",-63.1875,-12.8125
"Psectrogaster essequibensis",-64.14555,-12.578
"Psectrogaster essequibensis",-64.5875,-12.204167
"Psectrogaster essequibensis",-73.963508,-3.515069
"Psectrogaster essequibensis",-56.431972,-5.235583
"Psectrogaster essequibensis",-58.795833,4.804167
"Psectrogaster essequibensis",-58.687717,3.644017
"Psectrogaster essequibensis",-70.379167,-3.779167
"Psectrogaster essequibensis",-63.7875,-13.354167
"Psectrogaster essequibensis",-73.354167,-3.8125
"Psectrogaster essequibensis",-69.9625,-4.179167
"Psectrogaster essequibensis",-57.43,-5.93
"Psectrogaster essequibensis",-69.723992,-1.293053
"Psectrogaster essequibensis",-59.970833,4.695833
"Psectrogaster essequibensis",-58.554167,-6.329167
"Psectrogaster essequibensis",-63.379167,-6.679167
"Psectrogaster essequibensis",-58.1875,-6.9125
"Psectrogaster essequibensis",-63.55837,-13.30981
"Psectrogaster essequibensis",-64.370833,-12.541667
"Psectrogaster essequibensis",-63.520833,-13.2875
"Psectrogaster essequibensis",-62.9375,-13.354167
"Psectrogaster essequibensis",-64.279167,-12.679167
"Psectrogaster essequibensis",-62.745833,-13.570833
"Psectrogaster essequibensis",-62.745833,-13.1625
"Psectrogaster essequibensis",-63.4375,-5.479167
"Psectrogaster essequibensis",-63.253333,-10.336111
"Psectrogaster essequibensis",-63.929167,-12.5125
"Psectrogaster essequibensis",-73.89536,-3.49618
"Psectrogaster essequibensis",-73.295833,-3.7375
"Psectrogaster essequibensis",-72.6625,-7.6375
"Psectrogaster essequibensis",-64.16317,-12.56955
"Psectrogaster essequibensis",-65.179167,-13.195833
"Psectrogaster essequibensis",-69.95795,-4.202173
"Psectrogaster essequibensis",-66.895833,-4.8875
"Psectrogaster essequibensis",-65.25027,-13.16324
"Psectrogaster essequibensis",-64.71583,-9.31167
"Psectrogaster essequibensis",-75.554167,0.8375
"Psectrogaster essequibensis",-57.529167,-5.879167
"Psectrogaster essequibensis",-67.854167,-10.629167
"Psectrogaster essequibensis",-56.779231,-9.349511
"Psectrogaster essequibensis",-56.254167,-4.454167
