"specie","longitude","latitude"
"Psectrogaster falcata",-55.613216,-3.928868
"Psectrogaster falcata",-56.4125,-4.279167
"Psectrogaster falcata",-64.720593,-2.449524
"Psectrogaster falcata",-52.370833,-3.629167
"Psectrogaster falcata",-52.204167,-3.395833
"Psectrogaster falcata",-52.728669,-3.287622
"Psectrogaster falcata",-51.8875,-3.5875
"Psectrogaster falcata",-51.720833,-3.4125
"Psectrogaster falcata",-51.66997,-3.12604
"Psectrogaster falcata",-52.121288,-2.829219
"Psectrogaster falcata",-51.6125,-3.570833
"Psectrogaster falcata",-51.5831,-3.75673
"Psectrogaster falcata",-56.963798,-5.321328
"Psectrogaster falcata",-56.112903,-5.371582
"Psectrogaster falcata",-55.31921,-3.912211
"Psectrogaster falcata",-55.995833,-4.2875
"Psectrogaster falcata",-56.3,-4.633333
"Psectrogaster falcata",-55.822057,-4.619396
"Psectrogaster falcata",-56.254167,-4.454167
"Psectrogaster falcata",-56.431972,-5.235583
"Psectrogaster falcata",-51.777,-3.013
"Psectrogaster falcata",-55.914,-4.256
"Psectrogaster falcata",-56.456,-4.898
"Psectrogaster falcata",-56.179,-5.088
"Psectrogaster falcata",-55.678,-4.13
"Psectrogaster falcata",-51.779,-2.921
"Psectrogaster falcata",-52.695163,-2.064691
"Psectrogaster falcata",-51.604167,-1.429167
"Psectrogaster falcata",-52.252012,-2.996298
"Psectrogaster falcata",-51.987035,-3.025994
"Psectrogaster falcata",-51.979992,-2.669836
"Psectrogaster falcata",-52.851065,-2.819076
"Psectrogaster falcata",-51.539887,-3.367303
"Psectrogaster falcata",-55.99098,-2.60576
"Psectrogaster falcata",-56.299999,-4.633333
"Psectrogaster falcata",-55.605025,-2.653652
"Psectrogaster falcata",-55.391125,-5.5778
"Psectrogaster falcata",-54.932045,-2.446559
"Psectrogaster falcata",-55.4125,-3.695833
"Psectrogaster falcata",-52.962424,-3.1226
"Psectrogaster falcata",-55.6125,-4.020833
"Psectrogaster falcata",-51.780034,-3.012436
"Psectrogaster falcata",-52.519761,-2.330197
"Psectrogaster falcata",-53.404167,-2.7625
"Psectrogaster falcata",-54.485195,-2.915545
"Psectrogaster falcata",-53.947437,-2.139841
"Psectrogaster falcata",-55.9375,-4.2625
"Psectrogaster falcata",-56.056257,-4.329819
"Psectrogaster falcata",-56.417039,-4.741116
"Psectrogaster falcata",-56.7,-4.8
"Psectrogaster falcata",-52.941009,-2.54677
"Psectrogaster falcata",-53.795833,-3.004167
"Psectrogaster falcata",-53.529167,-1.9875
"Psectrogaster falcata",-64.49395,-2.744101
"Psectrogaster falcata",-52.07024,-3.29181
"Psectrogaster falcata",-52.0125,-2.8375
"Psectrogaster falcata",-55.860047,-5.481321
"Psectrogaster falcata",-58.229167,-6.429167
