"specie","longitude","latitude"
"Psectrogaster rhomboides",-42.140188,-3.278173
"Psectrogaster rhomboides",-42.55317,-5.953786
"Psectrogaster rhomboides",-39.35498,-6.554835
"Psectrogaster rhomboides",-42.663027,-6.143824
"Psectrogaster rhomboides",-38.963092,-6.788214
"Psectrogaster rhomboides",-38.110006,-5.405566
"Psectrogaster rhomboides",-47.679167,-4.704167
"Psectrogaster rhomboides",-42.754758,-5.888688
"Psectrogaster rhomboides",-44.254167,-6.3125
"Psectrogaster rhomboides",-40.503158,-3.76986
"Psectrogaster rhomboides",-42.686801,-5.986908
"Psectrogaster rhomboides",-44.20467,-5.127612
"Psectrogaster rhomboides",-42.633691,-5.936654
"Psectrogaster rhomboides",-38.232786,-5.153343
"Psectrogaster rhomboides",-40.282915,-3.495747
"Psectrogaster rhomboides",-45.323333,-2.263611
"Psectrogaster rhomboides",-42.694394,-5.297119
"Psectrogaster rhomboides",-41.695895,-3.291879
"Psectrogaster rhomboides",-42.689149,-4.912287
"Psectrogaster rhomboides",-42.57944,-5.862986
"Psectrogaster rhomboides",-44.8125,-4.929167
"Psectrogaster rhomboides",-44.754325,-5.593986
"Psectrogaster rhomboides",-40.13634,-3.245237
"Psectrogaster rhomboides",-42.415035,-4.643884
"Psectrogaster rhomboides",-43.9125,-7.520833
"Psectrogaster rhomboides",-44.737669,-5.144268
"Psectrogaster rhomboides",-45.968056,-8.976667
"Psectrogaster rhomboides",-45.119215,-5.412973
"Psectrogaster rhomboides",-46.438177,-5.512732
"Psectrogaster rhomboides",-43.037269,-6.113747
"Psectrogaster rhomboides",-38.221364,-5.230438
"Psectrogaster rhomboides",-41.871785,-3.226777
"Psectrogaster rhomboides",-44.314125,-5.698682
"Psectrogaster rhomboides",-42.83014,-5.937796
"Psectrogaster rhomboides",-42.838706,-5.87955
"Psectrogaster rhomboides",-47.102222,-5.309167
"Psectrogaster rhomboides",-38.303218,-5.346555
"Psectrogaster rhomboides",-37.820663,-4.931577
"Psectrogaster rhomboides",-42.927222,-5.946933
"Psectrogaster rhomboides",-38.33755,-7.43859
"Psectrogaster rhomboides",-46.279167,-4.295833
"Psectrogaster rhomboides",-43.062565,-5.970347
"Psectrogaster rhomboides",-38.035767,-4.789762
"Psectrogaster rhomboides",-43.097972,-5.888113
"Psectrogaster rhomboides",-45.253417,-5.502917
"Psectrogaster rhomboides",-41.894628,-3.110278
"Psectrogaster rhomboides",-45.920833,-4.9625
"Psectrogaster rhomboides",-46.395833,-7.545833
"Psectrogaster rhomboides",-42.712139,-6.395475
"Psectrogaster rhomboides",-45.420833,-2.404167
"Psectrogaster rhomboides",-39.49632,-6.524378
"Psectrogaster rhomboides",-42.961486,-5.845854
"Psectrogaster rhomboides",-44.211808,-4.792108
"Psectrogaster rhomboides",-42.944988,-4.793504
"Psectrogaster rhomboides",-46.378863,-2.245617
"Psectrogaster rhomboides",-42.820495,-4.586777
"Psectrogaster rhomboides",-43.900099,-4.55892
"Psectrogaster rhomboides",-42.230008,-4.74325
"Psectrogaster rhomboides",-43.097972,-5.696233
"Psectrogaster rhomboides",-42.88752,-5.608871
"Psectrogaster rhomboides",-45.445833,-3.645833
"Psectrogaster rhomboides",-39.296921,-6.321172
"Psectrogaster rhomboides",-37.927263,-4.73551
"Psectrogaster rhomboides",-42.046533,-3.081725
"Psectrogaster rhomboides",-42.873541,-6.02003
"Psectrogaster rhomboides",-43.079698,-5.762478
"Psectrogaster rhomboides",-39.384485,-6.455374
"Psectrogaster rhomboides",-43.004316,-5.662544
"Psectrogaster rhomboides",-37.929167,-4.979167
"Psectrogaster rhomboides",-42.853765,-6.250042
"Psectrogaster rhomboides",-42.921511,-5.693952
"Psectrogaster rhomboides",-42.371633,-4.716981
"Psectrogaster rhomboides",-43.069418,-6.053724
"Psectrogaster rhomboides",-42.179754,-4.316089
"Psectrogaster rhomboides",-42.8125,-5.104167
"Psectrogaster rhomboides",-40.8375,-5.570833
"Psectrogaster rhomboides",-40.45155,-4.22212
"Psectrogaster rhomboides",-40.447278,-4.283882
"Psectrogaster rhomboides",-40.4192,-4.22963
"Psectrogaster rhomboides",-46.658497,-2.879219
"Psectrogaster rhomboides",-38.138056,-7.303056
"Psectrogaster rhomboides",-40.737227,-7.886454
"Psectrogaster rhomboides",-44.5675,-7.236389
"Psectrogaster rhomboides",-43.5625,-5.120833
"Psectrogaster rhomboides",-43.8675,-5.443611
"Psectrogaster rhomboides",-45.154167,-3.204167
"Psectrogaster rhomboides",-42.82096,-5.828098
