"specie","longitude","latitude"
"Psectrogaster rutiloides",-74.5125,-5.3875
"Psectrogaster rutiloides",-62.945833,-7.745833
"Psectrogaster rutiloides",-69,-9.33
"Psectrogaster rutiloides",-74.504167,-5.404167
"Psectrogaster rutiloides",-69.954167,-4.204167
"Psectrogaster rutiloides",-65.10744,-15.42366
"Psectrogaster rutiloides",-60.26667,-3.41667
"Psectrogaster rutiloides",-67.995833,-11.8625
"Psectrogaster rutiloides",-55.173889,-2.883611
"Psectrogaster rutiloides",-59.946091,-3.239697
"Psectrogaster rutiloides",-73.2375,-3.8375
"Psectrogaster rutiloides",-60.145833,-3.220833
"Psectrogaster rutiloides",-68.929167,-3.570833
"Psectrogaster rutiloides",-55.495833,-1.8375
"Psectrogaster rutiloides",-74.504167,-4.9125
"Psectrogaster rutiloides",-55.4375,-2.479167
"Psectrogaster rutiloides",-63.195833,-5.629167
"Psectrogaster rutiloides",-74.504167,-5.2875
"Psectrogaster rutiloides",-74.4625,-5.345833
"Psectrogaster rutiloides",-60.220833,-3.254167
"Psectrogaster rutiloides",-60.276467,-3.482465
"Psectrogaster rutiloides",-55.695833,-2.3625
"Psectrogaster rutiloides",-63.1375,-7.5125
"Psectrogaster rutiloides",-62.374639,-8.664556
"Psectrogaster rutiloides",-74.304167,-5.204167
"Psectrogaster rutiloides",-64.120833,-3.754167
"Psectrogaster rutiloides",-68.654167,-11.245833
"Psectrogaster rutiloides",-70.254167,-7.5125
"Psectrogaster rutiloides",-61.304167,-5.820833
"Psectrogaster rutiloides",-64.789719,-3.210556
"Psectrogaster rutiloides",-54.845833,-2.179167
"Psectrogaster rutiloides",-65.4375,-9.679167
"Psectrogaster rutiloides",-60.195833,-3.2875
"Psectrogaster rutiloides",-64.295833,-12.529167
"Psectrogaster rutiloides",-61.356111,-5.868333
"Psectrogaster rutiloides",-64.7625,-15.4125
"Psectrogaster rutiloides",-69.951367,-4.200067
"Psectrogaster rutiloides",-60.2875,-3.104167
"Psectrogaster rutiloides",-64.2125,-12.570833
"Psectrogaster rutiloides",-55.145833,-2.104167
"Psectrogaster rutiloides",-58.729167,-3.295833
"Psectrogaster rutiloides",-73.237543,-3.696283
"Psectrogaster rutiloides",-74.1667,-4.8333
"Psectrogaster rutiloides",-69.950341,-4.221441
"Psectrogaster rutiloides",-73.280267,-3.721248
"Psectrogaster rutiloides",-60.3625,-3.820833
"Psectrogaster rutiloides",-73.1625,-3.829167
"Psectrogaster rutiloides",-63.916909,-8.753094
"Psectrogaster rutiloides",-61.4875,-3.104167
