"specie","longitude","latitude"
"Psectrogaster saguiru",-35.362784,-6.060281
"Psectrogaster saguiru",-35.332327,-6.32069
"Psectrogaster saguiru",-35.414562,-6.125764
"Psectrogaster saguiru",-35.394764,-5.921702
"Psectrogaster saguiru",-35.617101,-5.882107
"Psectrogaster saguiru",-35.091716,-6.355715
"Psectrogaster saguiru",-40.440172,-3.996473
"Psectrogaster saguiru",-35.527253,-6.285664
"Psectrogaster saguiru",-40.510604,-3.773755
"Psectrogaster saguiru",-35.566847,-6.488204
"Psectrogaster saguiru",-40.329765,-3.676673
"Psectrogaster saguiru",-35.512405,-6.659144
"Psectrogaster saguiru",-35.167859,-6.116627
"Psectrogaster saguiru",-39.304395,-5.495545
"Psectrogaster saguiru",-38.245712,-5.767962
"Psectrogaster saguiru",-38.505194,-7.045926
"Psectrogaster saguiru",-39.245132,-3.845247
"Psectrogaster saguiru",-39.193849,-3.837362
"Psectrogaster saguiru",-39.2309,-3.794273
"Psectrogaster saguiru",-38.909487,-5.337946
"Psectrogaster saguiru",-39.248712,-3.671642
"Psectrogaster saguiru",-39.345404,-5.216118
"Psectrogaster saguiru",-38.870833,-6.404167
"Psectrogaster saguiru",-38.903776,-5.109518
"Psectrogaster saguiru",-39.345802,-3.83658
"Psectrogaster saguiru",-40.464918,-4.268683
"Psectrogaster saguiru",-38.09055,-6.810019
"Psectrogaster saguiru",-39.070469,-3.818871
"Psectrogaster saguiru",-38.439566,-6.944119
"Psectrogaster saguiru",-39.137494,-3.871271
"Psectrogaster saguiru",-37.931528,-4.979123
"Psectrogaster saguiru",-38.620833,-3.7375
"Psectrogaster saguiru",-39.119661,-3.929105
"Psectrogaster saguiru",-37.794947,-4.767351
"Psectrogaster saguiru",-40.142073,-3.22705
