"specie","longitude","latitude"
"Pseudocurimata boehlkei",-79.353882,-1.911729
"Pseudocurimata boehlkei",-79.330087,-1.762774
"Pseudocurimata boehlkei",-79.711465,0.510746
"Pseudocurimata boehlkei",-79.232053,-1.771341
"Pseudocurimata boehlkei",-79.455098,0.39376
"Pseudocurimata boehlkei",-79.219945,0.096298
"Pseudocurimata boehlkei",-79.49482,0.068887
"Pseudocurimata boehlkei",-79.440101,0.813656
"Pseudocurimata boehlkei",-78.809786,1.678942
"Pseudocurimata boehlkei",-79.555563,0.639808
"Pseudocurimata boehlkei",-79.362436,0.604263
"Pseudocurimata boehlkei",-79.338112,0.454158
"Pseudocurimata boehlkei",-78.686435,1.509143
"Pseudocurimata boehlkei",-79.631071,0.151491
"Pseudocurimata boehlkei",-79.504167,0.370833
"Pseudocurimata boehlkei",-79.337205,0.246299
"Pseudocurimata boehlkei",-78.477804,1.353812
"Pseudocurimata boehlkei",-79.195915,0.453016
"Pseudocurimata boehlkei",-78.777806,1.405589
"Pseudocurimata boehlkei",-79.620836,-0.108526
"Pseudocurimata boehlkei",-79.279167,-1.820833
"Pseudocurimata boehlkei",-79.245833,0.154167
"Pseudocurimata boehlkei",-79.384517,0.761117
"Pseudocurimata boehlkei",-79.410638,0.446163
"Pseudocurimata boehlkei",-79.645956,0.937967
"Pseudocurimata boehlkei",-79.729625,-3.312508
"Pseudocurimata boehlkei",-79.621234,0.879231
"Pseudocurimata boehlkei",-79.594156,0.820576
"Pseudocurimata boehlkei",-79.70489,0.820768
"Pseudocurimata boehlkei",-79.553918,0.745634
"Pseudocurimata boehlkei",-79.464853,0.563425
"Pseudocurimata boehlkei",-79.652923,-3.325971
"Pseudocurimata boehlkei",-79.573904,0.586805
"Pseudocurimata boehlkei",-79.380123,0.478119
