"specie","longitude","latitude"
"Pseudocurimata boulengeri",-80.407284,-1.595251
"Pseudocurimata boulengeri",-79.604368,-2.130534
"Pseudocurimata boulengeri",-79.804167,-1.845833
"Pseudocurimata boulengeri",-79.388557,-1.853871
"Pseudocurimata boulengeri",-79.45459,-1.703765
"Pseudocurimata boulengeri",-80.454683,-1.53605
"Pseudocurimata boulengeri",-79.379167,-2.2375
"Pseudocurimata boulengeri",-79.431199,-1.419839
"Pseudocurimata boulengeri",-79.877586,-1.526439
"Pseudocurimata boulengeri",-79.663434,-1.73488
"Pseudocurimata boulengeri",-79.937055,-1.846796
"Pseudocurimata boulengeri",-79.7875,-1.620833
"Pseudocurimata boulengeri",-80.787236,-1.527865
"Pseudocurimata boulengeri",-79.801443,-1.3456
"Pseudocurimata boulengeri",-79.513052,-1.248994
"Pseudocurimata boulengeri",-79.752902,-1.553089
"Pseudocurimata boulengeri",-79.996066,-1.722588
"Pseudocurimata boulengeri",-79.9875,-1.8625
"Pseudocurimata boulengeri",-79.995833,-1.895833
"Pseudocurimata boulengeri",-78.895789,-2.254027
"Pseudocurimata boulengeri",-79.479167,-1.7625
"Pseudocurimata boulengeri",-79.929497,-1.42363
"Pseudocurimata boulengeri",-79.737967,-1.445041
"Pseudocurimata boulengeri",-79.858736,-3.646311
"Pseudocurimata boulengeri",-79.995478,-1.567397
"Pseudocurimata boulengeri",-79.584144,-1.578813
"Pseudocurimata boulengeri",-79.663054,-1.371108
"Pseudocurimata boulengeri",-79.670375,-1.538327
"Pseudocurimata boulengeri",-79.578859,-1.3121
"Pseudocurimata boulengeri",-79.596851,-1.8302
"Pseudocurimata boulengeri",-79.795577,-1.692469
"Pseudocurimata boulengeri",-79.947803,-1.502914
"Pseudocurimata boulengeri",-79.870833,-1.654167
"Pseudocurimata boulengeri",-79.795685,-1.771503
"Pseudocurimata boulengeri",-80.020337,-1.670894
"Pseudocurimata boulengeri",-79.469024,-1.12988
"Pseudocurimata boulengeri",-79.919188,-1.165703
"Pseudocurimata boulengeri",-79.805629,-1.845215
