"specie","longitude","latitude"
"Pseudocurimata lineopunctata",-76.490262,5.161664
"Pseudocurimata lineopunctata",-76.424981,5.002553
"Pseudocurimata lineopunctata",-76.670747,5.4033
"Pseudocurimata lineopunctata",-76.780796,5.26175
"Pseudocurimata lineopunctata",-77.145899,4.147625
"Pseudocurimata lineopunctata",-76.428586,5.128542
"Pseudocurimata lineopunctata",-77.110552,5.013896
"Pseudocurimata lineopunctata",-76.57992,5.073148
"Pseudocurimata lineopunctata",-76.862992,4.879202
"Pseudocurimata lineopunctata",-76.491404,4.96236
"Pseudocurimata lineopunctata",-76.696563,5.305056
"Pseudocurimata lineopunctata",-76.584611,5.353807
"Pseudocurimata lineopunctata",-76.931236,5.371387
"Pseudocurimata lineopunctata",-76.630746,4.977208
"Pseudocurimata lineopunctata",-76.620833,5.7125
"Pseudocurimata lineopunctata",-76.620833,5.529167
"Pseudocurimata lineopunctata",-77.245652,7.702739
"Pseudocurimata lineopunctata",-76.612431,5.603639
"Pseudocurimata lineopunctata",-76.535287,5.74534
"Pseudocurimata lineopunctata",-76.537563,5.521299
"Pseudocurimata lineopunctata",-76.513768,5.453722
"Pseudocurimata lineopunctata",-76.8625,3.854167
"Pseudocurimata lineopunctata",-76.453806,5.554611
"Pseudocurimata lineopunctata",-76.811677,5.553659
"Pseudocurimata lineopunctata",-78.71861,0.84061
"Pseudocurimata lineopunctata",-76.732967,4.986916
"Pseudocurimata lineopunctata",-77.264202,4.71637
"Pseudocurimata lineopunctata",-76.438577,5.621236
"Pseudocurimata lineopunctata",-76.962273,4.453124
"Pseudocurimata lineopunctata",-76.954167,3.6875
"Pseudocurimata lineopunctata",-76.58682,5.68866
"Pseudocurimata lineopunctata",-78.895833,0.729167
"Pseudocurimata lineopunctata",-76.721309,5.444968
"Pseudocurimata lineopunctata",-76.587736,5.129331
"Pseudocurimata lineopunctata",-77.270959,5.885032
"Pseudocurimata lineopunctata",-76.72897,5.076003
"Pseudocurimata lineopunctata",-76.962981,5.186477
"Pseudocurimata lineopunctata",-76.654167,5.554167
"Pseudocurimata lineopunctata",-76.550946,5.271034
"Pseudocurimata lineopunctata",-77.745833,2.429167
"Pseudocurimata lineopunctata",-78.997457,0.804854
"Pseudocurimata lineopunctata",-76.9625,3.7375
"Pseudocurimata lineopunctata",-78.837106,1.002794
"Pseudocurimata lineopunctata",-76.370049,5.721174
"Pseudocurimata lineopunctata",-76.504886,5.738261
"Pseudocurimata lineopunctata",-76.668828,5.095638
"Pseudocurimata lineopunctata",-76.860202,3.82804
"Pseudocurimata lineopunctata",-76.319604,5.39376
"Pseudocurimata lineopunctata",-79.075433,0.897717
"Pseudocurimata lineopunctata",-76.929167,3.870833
"Pseudocurimata lineopunctata",-77.245833,4.220833
"Pseudocurimata lineopunctata",-76.629422,5.446295
"Pseudocurimata lineopunctata",-76.887625,4.748717
"Pseudocurimata lineopunctata",-77.302513,4.168136
"Pseudocurimata lineopunctata",-76.570157,5.787627
"Pseudocurimata lineopunctata",-78.955219,0.679563
"Pseudocurimata lineopunctata",-76.796638,5.696808
"Pseudocurimata lineopunctata",-76.945797,4.554312
"Pseudocurimata lineopunctata",-78.753862,1.662973
"Pseudocurimata lineopunctata",-76.7375,5.354167
"Pseudocurimata lineopunctata",-79.022894,1.014977
"Pseudocurimata lineopunctata",-76.995833,4.220833
"Pseudocurimata lineopunctata",-76.579167,5.204167
"Pseudocurimata lineopunctata",-77.029548,3.736315
"Pseudocurimata lineopunctata",-76.862121,5.777519
"Pseudocurimata lineopunctata",-76.879781,5.604868
"Pseudocurimata lineopunctata",-76.6625,5.695833
"Pseudocurimata lineopunctata",-77.329601,7.844439
"Pseudocurimata lineopunctata",-76.802937,4.771972
"Pseudocurimata lineopunctata",-76.746532,5.608675
"Pseudocurimata lineopunctata",-76.671003,5.770666
"Pseudocurimata lineopunctata",-76.57749,5.64652
"Pseudocurimata lineopunctata",-76.996241,4.503868
"Pseudocurimata lineopunctata",-76.879167,3.779547
"Pseudocurimata lineopunctata",-76.643591,5.814068
"Pseudocurimata lineopunctata",-77.371288,7.712447
"Pseudocurimata lineopunctata",-76.965409,4.704175
"Pseudocurimata lineopunctata",-76.766401,5.404252
"Pseudocurimata lineopunctata",-76.971447,3.832769
"Pseudocurimata lineopunctata",-78.933333,1.071322
"Pseudocurimata lineopunctata",-77.021701,3.81221
"Pseudocurimata lineopunctata",-76.723689,5.644843
"Pseudocurimata lineopunctata",-78.83587,0.889341
"Pseudocurimata lineopunctata",-76.779567,3.819444
"Pseudocurimata lineopunctata",-76.519479,5.830819
"Pseudocurimata lineopunctata",-78.936305,0.829839
"Pseudocurimata lineopunctata",-76.871655,3.602419
"Pseudocurimata lineopunctata",-76.6375,5.504167
"Pseudocurimata lineopunctata",-77.11197,3.79651
