"specie","longitude","latitude"
"Pseudocurimata patiae",-78.186938,1.642719
"Pseudocurimata patiae",-78.23034,1.686882
"Pseudocurimata patiae",-78.01181,1.656425
"Pseudocurimata patiae",-78.120494,1.688092
"Pseudocurimata patiae",-78.254705,1.761502
"Pseudocurimata patiae",-78.120494,1.645155
"Pseudocurimata patiae",-78.1375,1.679167
"Pseudocurimata patiae",-77.796,2.496
"Pseudocurimata patiae",-77.77,2.48
"Pseudocurimata patiae",-77.779,2.567
"Pseudocurimata patiae",-78.434,1.843
"Pseudocurimata patiae",-78.413,1.986
"Pseudocurimata patiae",-78.371,2.148
"Pseudocurimata patiae",-78.328,2.361
"Pseudocurimata patiae",-78.688,1.355
"Pseudocurimata patiae",-78.721,1.53
"Pseudocurimata patiae",-78.476,1.355
"Pseudocurimata patiae",-78.47,1.688
"Pseudocurimata patiae",-79.07,0.906
"Pseudocurimata patiae",-78.954,0.679
"Pseudocurimata patiae",-78.863,0.969
"Pseudocurimata patiae",-78.679,0.687
"Pseudocurimata patiae",-78.38,1.404
"Pseudocurimata patiae",-78.721,1.17
"Pseudocurimata patiae",-78.785,1.062
"Pseudocurimata patiae",-77.962689,1.510932
"Pseudocurimata patiae",-77.961639,1.56218
"Pseudocurimata patiae",-78.262185,1.813167
"Pseudocurimata patiae",-78.086299,1.903943
"Pseudocurimata patiae",-77.770897,2.478842
