"specie","longitude","latitude"
"Pseudocurimata peruana",-79.954167,-4.213091
"Pseudocurimata peruana",-80.162798,-4.488727
"Pseudocurimata peruana",-79.4875,-3.845833
"Pseudocurimata peruana",-80.535598,-4.703347
"Pseudocurimata peruana",-80.69384,-4.892986
"Pseudocurimata peruana",-79.937,-4.404
"Pseudocurimata peruana",-80.517893,-4.552421
"Pseudocurimata peruana",-80.506629,-4.517062
"Pseudocurimata peruana",-79.971,-5.006
"Pseudocurimata peruana",-80.666741,-4.864205
"Pseudocurimata peruana",-80.596995,-4.79092
"Pseudocurimata peruana",-80.879167,-4.895833
"Pseudocurimata peruana",-80.087,-5.113
"Pseudocurimata peruana",-79.396,-4.006
"Pseudocurimata peruana",-79.8,-4.122
"Pseudocurimata peruana",-80.236,-4.231
"Pseudocurimata peruana",-80.437,-3.647
"Pseudocurimata peruana",-80.297,-4.188
"Pseudocurimata peruana",-80.272,-4.055
"Pseudocurimata peruana",-79.638,-3.703
"Pseudocurimata peruana",-80.04498,-4.328287
"Pseudocurimata peruana",-80.145525,-4.896086
"Pseudocurimata peruana",-79.690404,-6.813477
"Pseudocurimata peruana",-79.569374,-6.770259
