"specie","longitude","latitude"
"Pseudocurimata troschelii",-79.419543,0.832691
"Pseudocurimata troschelii",-79.419543,1.023048
"Pseudocurimata troschelii",-79.555563,0.639808
"Pseudocurimata troschelii",-79.611423,0.58675
"Pseudocurimata troschelii",-79.880774,-2.102982
"Pseudocurimata troschelii",-80.800871,-1.537811
"Pseudocurimata troschelii",-79.737967,-1.445041
"Pseudocurimata troschelii",-79.663054,-1.371108
"Pseudocurimata troschelii",-79.799682,-2.0967
"Pseudocurimata troschelii",-79.4625,1.004167
"Pseudocurimata troschelii",-79.895156,-3.473202
"Pseudocurimata troschelii",-79.896584,-3.411336
"Pseudocurimata troschelii",-79.752876,-2.845579
"Pseudocurimata troschelii",-80.103691,-3.620517
"Pseudocurimata troschelii",-79.970823,-3.396108
"Pseudocurimata troschelii",-80.112733,-3.538188
"Pseudocurimata troschelii",-80.745548,-1.529483
"Pseudocurimata troschelii",-79.736293,-2.221045
"Pseudocurimata troschelii",-79.794781,-1.322376
"Pseudocurimata troschelii",-80.778951,-1.521902
"Pseudocurimata troschelii",-79.520943,-2.163647
"Pseudocurimata troschelii",-80.677572,-1.511999
"Pseudocurimata troschelii",-79.805964,-2.254167
"Pseudocurimata troschelii",-79.752902,-1.553089
"Pseudocurimata troschelii",-79.685031,-2.137187
"Pseudocurimata troschelii",-79.838515,-2.334688
"Pseudocurimata troschelii",-80.01174,-1.963301
"Pseudocurimata troschelii",-79.678996,-1.921423
"Pseudocurimata troschelii",-79.846571,-3.596649
"Pseudocurimata troschelii",-79.820833,-2.895833
"Pseudocurimata troschelii",-80.211694,-3.903788
"Pseudocurimata troschelii",-79.911292,-3.579993
"Pseudocurimata troschelii",-80.387055,-3.646764
"Pseudocurimata troschelii",-79.954167,-3.454167
"Pseudocurimata troschelii",-80.48124,-4.085769
"Pseudocurimata troschelii",-79.8625,-2.1875
"Pseudocurimata troschelii",-79.988977,-3.837924
"Pseudocurimata troschelii",-80.348751,-3.989829
"Pseudocurimata troschelii",-80.137479,-3.453955
"Pseudocurimata troschelii",-80.188183,-3.620684
"Pseudocurimata troschelii",-79.845796,-1.393189
"Pseudocurimata troschelii",-79.326755,0.645326
"Pseudocurimata troschelii",-80.012246,-1.770177
"Pseudocurimata troschelii",-80.296763,-4.013835
"Pseudocurimata troschelii",-79.962212,-3.530024
"Pseudocurimata troschelii",-80.486041,-3.893276
"Pseudocurimata troschelii",-80.235679,-3.953281
"Pseudocurimata troschelii",-80.220734,-3.529313
"Pseudocurimata troschelii",-80.219945,-3.696467
"Pseudocurimata troschelii",-79.460029,-2.238838
"Pseudocurimata troschelii",-80.403236,-3.963708
"Pseudocurimata troschelii",-79.995575,-3.487216
"Pseudocurimata troschelii",-80.471613,-3.805671
"Pseudocurimata troschelii",-79.922653,-1.895534
"Pseudocurimata troschelii",-79.450042,-1.496952
"Pseudocurimata troschelii",-79.5875,-1.729167
"Pseudocurimata troschelii",-79.446299,0.908019
"Pseudocurimata troschelii",-79.9875,-1.8625
"Pseudocurimata troschelii",-80.138282,-3.67134
"Pseudocurimata troschelii",-80.104167,-3.495833
"Pseudocurimata troschelii",-80.170833,-3.795833
"Pseudocurimata troschelii",-79.8625,-2.254167
"Pseudocurimata troschelii",-79.654167,-2.495833
