"specie","longitude","latitude"
"Steindachnerina amazonica",-52.429569,-15.858291
"Steindachnerina amazonica",-52.3125,-15.8375
"Steindachnerina amazonica",-52.1375,-15.954167
"Steindachnerina amazonica",-52.2625,-15.9375
"Steindachnerina amazonica",-48.304167,-13.9875
"Steindachnerina amazonica",-48.2375,-14.454167
"Steindachnerina amazonica",-48.42885,-14.13659
"Steindachnerina amazonica",-51.261667,-16.6475
"Steindachnerina amazonica",-48.7888,-13.649
"Steindachnerina amazonica",-48.6625,-14.570833
"Steindachnerina amazonica",-50.313611,-5.668611
"Steindachnerina amazonica",-50.445,-5.613056
"Steindachnerina amazonica",-50.2375,-6.420833
"Steindachnerina amazonica",-50.188536,-6.404124
"Steindachnerina amazonica",-50.430428,-6.401337
"Steindachnerina amazonica",-50.519516,-6.346514
"Steindachnerina amazonica",-49.904167,-6.1875
"Steindachnerina amazonica",-50.312732,-6.369987
"Steindachnerina amazonica",-50.040819,-6.404124
"Steindachnerina amazonica",-50.451748,-6.430271
"Steindachnerina amazonica",-49.8875,-6.504167
"Steindachnerina amazonica",-50.125,-6.420833
"Steindachnerina amazonica",-49.838219,-6.462902
"Steindachnerina amazonica",-50.094881,-6.378997
"Steindachnerina amazonica",-49.861482,-6.188046
"Steindachnerina amazonica",-50.213889,-6.445556
"Steindachnerina amazonica",-47.422667,-13.779444
"Steindachnerina amazonica",-46.845882,-13.14584
"Steindachnerina amazonica",-47.1195,-12.642944
"Steindachnerina amazonica",-47.500381,-14.429145
"Steindachnerina amazonica",-46.65,-14.166667
"Steindachnerina amazonica",-46.654167,-14.3125
"Steindachnerina amazonica",-46.570833,-13.6625
"Steindachnerina amazonica",-46.320833,-13.395833
"Steindachnerina amazonica",-46.745833,-13.254167
"Steindachnerina amazonica",-47.236944,-6.537222
"Steindachnerina amazonica",-47.13,-6.687222
"Steindachnerina amazonica",-46.93,-6.904167
"Steindachnerina amazonica",-46.837778,-6.9575
"Steindachnerina amazonica",-46.612024,-7.796901
"Steindachnerina amazonica",-51.895701,-14.928686
"Steindachnerina amazonica",-52.304167,-15.870833
