"specie","longitude","latitude"
"Steindachnerina argentea",-72.6875,2.354167
"Steindachnerina argentea",-71.9625,4.329167
"Steindachnerina argentea",-71.404167,5.720833
"Steindachnerina argentea",-65.370833,7.545833
"Steindachnerina argentea",-64.5625,2.920833
"Steindachnerina argentea",-71.145833,5.720833
"Steindachnerina argentea",-67.510518,7.902218
"Steindachnerina argentea",-61.748471,8.605432
"Steindachnerina argentea",-68.687195,8.568056
"Steindachnerina argentea",-69.279167,8.8125
"Steindachnerina argentea",-71.5375,6.2125
"Steindachnerina argentea",-72.404167,4.954167
"Steindachnerina argentea",-73.8625,3.920833
"Steindachnerina argentea",-71.229167,5.6375
"Steindachnerina argentea",-67.629167,7.545833
"Steindachnerina argentea",-65.379167,7.5375
"Steindachnerina argentea",-69.7375,8.804167
"Steindachnerina argentea",-71.5625,6.204167
"Steindachnerina argentea",-71.370833,6.875
"Steindachnerina argentea",-69.554167,8.954167
"Steindachnerina argentea",-67.562665,7.311449
"Steindachnerina argentea",-69.329167,7.754167
"Steindachnerina argentea",-71.429167,5.645833
"Steindachnerina argentea",-66.4875,7.354167
"Steindachnerina argentea",-71.492972,5.9095
"Steindachnerina argentea",-71.187028,5.609556
"Steindachnerina argentea",-71.454167,5.945833
"Steindachnerina argentea",-71.754167,6.270833
"Steindachnerina argentea",-67.4875,7.8875
"Steindachnerina argentea",-61.529167,10.670833
"Steindachnerina argentea",-67.420833,8.8125
"Steindachnerina argentea",-67.645833,7.4625
"Steindachnerina argentea",-71.379167,6.295833
"Steindachnerina argentea",-61.285302,10.655267
"Steindachnerina argentea",-65.604167,5.495833
"Steindachnerina argentea",-66.9125,8.995833
"Steindachnerina argentea",-71.270833,5.654167
"Steindachnerina argentea",-71.329167,6.245833
"Steindachnerina argentea",-71.520833,6.295833
"Steindachnerina argentea",-68.367222,8.121667
"Steindachnerina argentea",-71.945833,5.4875
"Steindachnerina argentea",-67.379315,8.806656
"Steindachnerina argentea",-71.485167,5.913111
"Steindachnerina argentea",-73.554167,3.945833
"Steindachnerina argentea",-69.7125,9.204167
"Steindachnerina argentea",-68.679167,8.629167
"Steindachnerina argentea",-73.291667,4.170833
"Steindachnerina argentea",-72.1625,4.3125
"Steindachnerina argentea",-71.749056,6.330389
"Steindachnerina argentea",-71.345833,6.2375
"Steindachnerina argentea",-65.220833,7.1125
"Steindachnerina argentea",-64.895833,7.629167
"Steindachnerina argentea",-65.876167,7.484647
"Steindachnerina argentea",-73.404167,4.879167
"Steindachnerina argentea",-69.895833,8.979167
"Steindachnerina argentea",-67.5125,8.420833
"Steindachnerina argentea",-69.495833,9.3625
"Steindachnerina argentea",-71.8625,5.504167
"Steindachnerina argentea",-66.5125,7.220833
"Steindachnerina argentea",-68.5125,8.495833
"Steindachnerina argentea",-60.820833,8.5875
"Steindachnerina argentea",-69.504167,7.5125
"Steindachnerina argentea",-71.704167,5.4625
"Steindachnerina argentea",-73.629167,4.1625
"Steindachnerina argentea",-70.170833,6.595833
"Steindachnerina argentea",-67.595833,8.570833
"Steindachnerina argentea",-61.420833,8.4625
"Steindachnerina argentea",-66.43009,9.996392
"Steindachnerina argentea",-71.618297,6.232167
"Steindachnerina argentea",-72.111333,5.799278
"Steindachnerina argentea",-71.495833,5.9125
"Steindachnerina argentea",-71.1125,5.604167
"Steindachnerina argentea",-72.1125,5.7625
"Steindachnerina argentea",-69.645833,9.145833
"Steindachnerina argentea",-61.270833,10.479167
"Steindachnerina argentea",-71.7125,6.270833
"Steindachnerina argentea",-73.570833,4.2125
"Steindachnerina argentea",-70.927972,5.660389
"Steindachnerina argentea",-69.646595,9.72813
"Steindachnerina argentea",-67.524934,7.53847
"Steindachnerina argentea",-67.595833,7.6625
"Steindachnerina argentea",-71.4875,5.9375
"Steindachnerina argentea",-71.2125,5.2375
"Steindachnerina argentea",-73.7375,2.354167
"Steindachnerina argentea",-71.268694,5.658056
"Steindachnerina argentea",-73.220833,4.720833
"Steindachnerina argentea",-69.345,8.8275
"Steindachnerina argentea",-61.205562,10.637214
"Steindachnerina argentea",-67.495833,8.104167
"Steindachnerina argentea",-69.429167,7.445833
"Steindachnerina argentea",-71.75,6.33
"Steindachnerina argentea",-71.838611,5.586056
"Steindachnerina argentea",-66.9625,5.220833
"Steindachnerina argentea",-73.76,3.82
"Steindachnerina argentea",-73.1125,4.104167
"Steindachnerina argentea",-61.33,10.58
"Steindachnerina argentea",-64.129167,7.6125
"Steindachnerina argentea",-61.312183,8.553224
"Steindachnerina argentea",-71.838611,5.577972
"Steindachnerina argentea",-62.541667,8.679167
"Steindachnerina argentea",-69.4875,7.479167
"Steindachnerina argentea",-69.34583,8.82793
"Steindachnerina argentea",-72.695833,4.320833
