"specie","longitude","latitude"
"Steindachnerina atratoensis",-76.598278,6.113885
"Steindachnerina atratoensis",-76.727666,5.637889
"Steindachnerina atratoensis",-76.653005,6.597392
"Steindachnerina atratoensis",-76.770551,6.093898
"Steindachnerina atratoensis",-76.552592,6.002527
"Steindachnerina atratoensis",-76.605892,6.211919
"Steindachnerina atratoensis",-76.763072,5.704419
"Steindachnerina atratoensis",-76.81576,6.171944
"Steindachnerina atratoensis",-76.965666,6.470329
"Steindachnerina atratoensis",-76.504527,5.520924
"Steindachnerina atratoensis",-76.629167,7.5625
"Steindachnerina atratoensis",-77.229697,7.15511
"Steindachnerina atratoensis",-76.586108,5.795205
"Steindachnerina atratoensis",-76.67113,5.679007
"Steindachnerina atratoensis",-76.779611,7.090717
"Steindachnerina atratoensis",-76.554167,7.454167
"Steindachnerina atratoensis",-76.820833,7.820833
"Steindachnerina atratoensis",-76.71333,6.39817
"Steindachnerina atratoensis",-76.754167,6.3875
"Steindachnerina atratoensis",-76.661427,7.796591
"Steindachnerina atratoensis",-76.5625,7.495833
"Steindachnerina atratoensis",-76.779167,5.9875
"Steindachnerina atratoensis",-77.155994,7.670759
"Steindachnerina atratoensis",-76.820728,6.967366
"Steindachnerina atratoensis",-76.81917,6.85806
"Steindachnerina atratoensis",-76.671003,5.770666
"Steindachnerina atratoensis",-76.720024,5.820332
"Steindachnerina atratoensis",-76.667352,6.003614
"Steindachnerina atratoensis",-76.737393,5.390511
"Steindachnerina atratoensis",-77.1125,8.1875
"Steindachnerina atratoensis",-76.70994,6.987353
"Steindachnerina atratoensis",-76.961211,6.962226
"Steindachnerina atratoensis",-76.662384,5.645537
"Steindachnerina atratoensis",-76.647218,7.82176
"Steindachnerina atratoensis",-76.929231,7.099283
"Steindachnerina atratoensis",-77.047443,7.042176
"Steindachnerina atratoensis",-77.1125,7.4375
"Steindachnerina atratoensis",-76.954167,6.629167
"Steindachnerina atratoensis",-76.72633,6.22045
"Steindachnerina atratoensis",-76.643591,5.814068
"Steindachnerina atratoensis",-76.6625,5.6875
"Steindachnerina atratoensis",-76.739077,7.745314
"Steindachnerina atratoensis",-76.986909,7.146111
"Steindachnerina atratoensis",-76.629422,5.446295
"Steindachnerina atratoensis",-76.795833,6.770833
"Steindachnerina atratoensis",-76.820833,7.670833
"Steindachnerina atratoensis",-76.713742,7.57374
"Steindachnerina atratoensis",-76.804167,6.829167
