"specie","longitude","latitude"
"Steindachnerina biornata",-53.970833,-28.4625
"Steindachnerina biornata",-54.170833,-31.729167
"Steindachnerina biornata",-53.2625,-29.7875
"Steindachnerina biornata",-52.8624,-29.337072
"Steindachnerina biornata",-53.370833,-32.570833
"Steindachnerina biornata",-52.129167,-27.320833
"Steindachnerina biornata",-53.2875,-29.704167
"Steindachnerina biornata",-50.204167,-29.9125
"Steindachnerina biornata",-50.264243,-30.148591
"Steindachnerina biornata",-50.180989,-29.805984
"Steindachnerina biornata",-50.645833,-29.170833
"Steindachnerina biornata",-50.2375,-29.5875
"Steindachnerina biornata",-50.795833,-29.6625
"Steindachnerina biornata",-52.995833,-31.945833
"Steindachnerina biornata",-51.782427,-28.93527
"Steindachnerina biornata",-51.445833,-28.870833
"Steindachnerina biornata",-52.266666,-30.883333
"Steindachnerina biornata",-54.4875,-31.3625
"Steindachnerina biornata",-51.720833,-30.1125
"Steindachnerina biornata",-52.1125,-27.304167
"Steindachnerina biornata",-57.1125,-29.754167
"Steindachnerina biornata",-53.245833,-28.329167
"Steindachnerina biornata",-56.2625,-34.529167
"Steindachnerina biornata",-53.200001,-27.916666
"Steindachnerina biornata",-53.9625,-28.529167
"Steindachnerina biornata",-55.650002,-30.183332
"Steindachnerina biornata",-56.3125,-30.320833
"Steindachnerina biornata",-53.450001,-32.516666
"Steindachnerina biornata",-51.887797,-27.670823
"Steindachnerina biornata",-50.883335,-27.549999
"Steindachnerina biornata",-51.754547,-27.628468
"Steindachnerina biornata",-55.2625,-28.1625
"Steindachnerina biornata",-51.845444,-27.535083
"Steindachnerina biornata",-51.679167,-27.654167
"Steindachnerina biornata",-52.154167,-27.170833
"Steindachnerina biornata",-51.870833,-27.629167
"Steindachnerina biornata",-51.170833,-27.7875
"Steindachnerina biornata",-50.105278,-29.526667
"Steindachnerina biornata",-51.7875,-29.445833
"Steindachnerina biornata",-51.345833,-29.454167
"Steindachnerina biornata",-54.9625,-28.454167
"Steindachnerina biornata",-51.904167,-27.4625
"Steindachnerina biornata",-54.1125,-28.654167
"Steindachnerina biornata",-54.370833,-28.454167
"Steindachnerina biornata",-52.283333,-29.549999
"Steindachnerina biornata",-51.004167,-29.504167
"Steindachnerina biornata",-52.220833,-27.354167
"Steindachnerina biornata",-51.9625,-27.345833
"Steindachnerina biornata",-51.945208,-31.295526
"Steindachnerina biornata",-51.450001,-28.183332
"Steindachnerina biornata",-50.4375,-29.779167
"Steindachnerina biornata",-52.904167,-30.5375
"Steindachnerina biornata",-52.7625,-29.670833
"Steindachnerina biornata",-52.395833,-30.304167
"Steindachnerina biornata",-52.520833,-30.879167
"Steindachnerina biornata",-57.720833,-29.729167
"Steindachnerina biornata",-53.229167,-29.3875
"Steindachnerina biornata",-53.259998,-29.446945
"Steindachnerina biornata",-53.285831,-29.565001
"Steindachnerina biornata",-53.248055,-29.276945
"Steindachnerina biornata",-51.5375,-29.295833
"Steindachnerina biornata",-53.480835,-28.640278
"Steindachnerina biornata",-53.970833,-31.504167
"Steindachnerina biornata",-53.234722,-29.262777
"Steindachnerina biornata",-53.426945,-30.896944
"Steindachnerina biornata",-53.9625,-30.954167
"Steindachnerina biornata",-53.7375,-30.7625
"Steindachnerina biornata",-54.679167,-31.129167
"Steindachnerina biornata",-53.806389,-30.7675
"Steindachnerina biornata",-51.383335,-29.833334
"Steindachnerina biornata",-53.295833,-29.4875
