"specie","longitude","latitude"
"Steindachnerina conspersa",-55.950001,-16.183332
"Steindachnerina conspersa",-56.29,-16.37
"Steindachnerina conspersa",-58.454167,-15.854167
"Steindachnerina conspersa",-57.821756,-19.230167
"Steindachnerina conspersa",-56.858056,-16.747222
"Steindachnerina conspersa",-54.9375,-15.995833
"Steindachnerina conspersa",-57.9833,-20.6667
"Steindachnerina conspersa",-56.9875,-19.579167
"Steindachnerina conspersa",-57.654167,-18.995833
"Steindachnerina conspersa",-55.820833,-16.4125
"Steindachnerina conspersa",-57.454167,-19.520833
"Steindachnerina conspersa",-57.2625,-19.170833
"Steindachnerina conspersa",-57.120833,-26.3875
"Steindachnerina conspersa",-58.420833,-26.5625
"Steindachnerina conspersa",-56.154167,-17.420833
"Steindachnerina conspersa",-56.2625,-15.8625
"Steindachnerina conspersa",-57.279167,-22.229167
"Steindachnerina conspersa",-57.6875,-16.6875
"Steindachnerina conspersa",-62.120833,-24.2125
"Steindachnerina conspersa",-57.594222,-16.946028
"Steindachnerina conspersa",-57.3875,-19.4375
"Steindachnerina conspersa",-58.720833,-24.620833
"Steindachnerina conspersa",-56.3125,-16.370833
"Steindachnerina conspersa",-57.820833,-22.1375
"Steindachnerina conspersa",-56.370833,-16.529167
"Steindachnerina conspersa",-56.966667,-19.683332
"Steindachnerina conspersa",-58.1625,-20.1625
"Steindachnerina conspersa",-57.395833,-17.8375
"Steindachnerina conspersa",-56.379167,-20.229167
"Steindachnerina conspersa",-62.445833,-24.404167
"Steindachnerina conspersa",-55.9,-16.33
"Steindachnerina conspersa",-56.604167,-16.229167
"Steindachnerina conspersa",-57.970833,-21.845833
"Steindachnerina conspersa",-57.229167,-15.404167
"Steindachnerina conspersa",-55.8875,-16.2125
"Steindachnerina conspersa",-55.795833,-20.4625
"Steindachnerina conspersa",-57.929167,-20.795833
"Steindachnerina conspersa",-62.329167,-24.879167
"Steindachnerina conspersa",-61.654167,-23.495833
"Steindachnerina conspersa",-63.6625,-23.379167
"Steindachnerina conspersa",-57.1375,-23.120833
"Steindachnerina conspersa",-57.220833,-23.4625
"Steindachnerina conspersa",-57.970833,-21.4375
"Steindachnerina conspersa",-57.8625,-21.154167
"Steindachnerina conspersa",-57.870833,-21.3625
"Steindachnerina conspersa",-57.983,-20.667
"Steindachnerina conspersa",-55.804167,-20.470833
"Steindachnerina conspersa",-56.967,-19.683
"Steindachnerina conspersa",-57.8875,-19.504167
"Steindachnerina conspersa",-57.3375,-19.5125
"Steindachnerina conspersa",-57.726,-18.98
"Steindachnerina conspersa",-57.795833,-18.945833
"Steindachnerina conspersa",-57.845833,-18.945833
"Steindachnerina conspersa",-59.925,-17.743
"Steindachnerina conspersa",-59.929167,-17.7375
"Steindachnerina conspersa",-56.859,-16.748
"Steindachnerina conspersa",-59.707,-16.624
"Steindachnerina conspersa",-56.6375,-16.354167
"Steindachnerina conspersa",-56.620833,-16.220833
"Steindachnerina conspersa",-55.954167,-16.179167
"Steindachnerina conspersa",-57.683,-16.67
"Steindachnerina conspersa",-56.479,-15.998
"Steindachnerina conspersa",-55.729167,-14.9625
"Steindachnerina conspersa",-57.570833,-25.429167
"Steindachnerina conspersa",-57.90447,-21.71219
"Steindachnerina conspersa",-57.696111,-15.235556
"Steindachnerina conspersa",-57.854167,-21.3125
"Steindachnerina conspersa",-57.683333,-16.666667
"Steindachnerina conspersa",-56.966667,-19.683333
