"specie","longitude","latitude"
"Steindachnerina dobula",-61.5875,-9.395833
"Steindachnerina dobula",-77.633946,-1.480145
"Steindachnerina dobula",-68.970833,-12.829167
"Steindachnerina dobula",-67.5611,-11.1508
"Steindachnerina dobula",-74.619843,0.44435
"Steindachnerina dobula",-62.479167,-16.4875
"Steindachnerina dobula",-77.671569,0.547869
"Steindachnerina dobula",-76.543455,0.493845
"Steindachnerina dobula",-77.401501,-1.396086
"Steindachnerina dobula",-73.879167,-3.4875
"Steindachnerina dobula",-76.904239,0.738464
"Steindachnerina dobula",-77.029188,0.410787
"Steindachnerina dobula",-74.378524,0.752932
"Steindachnerina dobula",-76.879937,0.688983
"Steindachnerina dobula",-73.104463,-3.481106
"Steindachnerina dobula",-74.700651,-8.404707
"Steindachnerina dobula",-71.379167,-11.829167
"Steindachnerina dobula",-77.577011,-4.46063
"Steindachnerina dobula",-76.98058,0.58729
"Steindachnerina dobula",-75.329292,0.847103
"Steindachnerina dobula",-75.065451,-9.569839
"Steindachnerina dobula",-74.378537,0.752954
"Steindachnerina dobula",-74.378542,0.752949
"Steindachnerina dobula",-76.446849,0.445304
"Steindachnerina dobula",-77.420664,0.485216
"Steindachnerina dobula",-67.995833,-11.8625
"Steindachnerina dobula",-76.945833,0.479399
"Steindachnerina dobula",-65.223889,-11.610556
"Steindachnerina dobula",-77.947685,-4.520177
"Steindachnerina dobula",-76.578369,0.588149
"Steindachnerina dobula",-71.330562,-11.945044
"Steindachnerina dobula",-69.3,-12.83
"Steindachnerina dobula",-76.634582,-4.420264
"Steindachnerina dobula",-77.577817,-1.358376
"Steindachnerina dobula",-77.517976,0.543549
"Steindachnerina dobula",-78.01828,-3.654471
"Steindachnerina dobula",-76.447087,0.554283
"Steindachnerina dobula",-76.003437,0.855488
"Steindachnerina dobula",-76.602094,0.40313
"Steindachnerina dobula",-76.97896,0.679519
"Steindachnerina dobula",-77.390462,-4.529158
"Steindachnerina dobula",-69.329167,-11.454167
"Steindachnerina dobula",-70.757265,-12.807786
"Steindachnerina dobula",-69.306222,-11.463597
"Steindachnerina dobula",-71.220833,-12.170833
"Steindachnerina dobula",-68.7333,-11.3103
"Steindachnerina dobula",-68.7369,-11.2733
"Steindachnerina dobula",-77.96101,-4.797146
"Steindachnerina dobula",-77.153152,0.686696
"Steindachnerina dobula",-76.313208,0.429843
"Steindachnerina dobula",-66.170833,-11.104167
"Steindachnerina dobula",-74.809421,-9.579833
"Steindachnerina dobula",-76.739258,0.29558
"Steindachnerina dobula",-77.303691,0.362484
"Steindachnerina dobula",-69.612778,-13.144444
"Steindachnerina dobula",-72.004167,-12.104167
"Steindachnerina dobula",-76.3625,0.654167
"Steindachnerina dobula",-77.140331,-1.311568
"Steindachnerina dobula",-75.979167,-9.370833
"Steindachnerina dobula",-77.985078,-4.621048
"Steindachnerina dobula",-66.1625,-11.120833
"Steindachnerina dobula",-74.337289,-5.12079
"Steindachnerina dobula",-76.879937,0.688986
"Steindachnerina dobula",-76.475824,-3.995959
"Steindachnerina dobula",-77.879156,-4.76431
"Steindachnerina dobula",-76.698605,0.397652
"Steindachnerina dobula",-77.289571,-1.460808
"Steindachnerina dobula",-77.736911,-4.478143
"Steindachnerina dobula",-77.244458,0.494691
"Steindachnerina dobula",-74.929167,-10.295833
"Steindachnerina dobula",-75.97783,-5.896102
"Steindachnerina dobula",-64.779376,0.487763
"Steindachnerina dobula",-77.722315,-1.811802
"Steindachnerina dobula",-74.461373,-8.21279
"Steindachnerina dobula",-71.8625,-3.329167
"Steindachnerina dobula",-77.360594,-1.512887
"Steindachnerina dobula",-74.721869,0.309244
"Steindachnerina dobula",-74.779738,0.213304
"Steindachnerina dobula",-68.6875,-12.554167
"Steindachnerina dobula",-65.295833,-16.745833
"Steindachnerina dobula",-74.953141,-9.755913
"Steindachnerina dobula",-76.307623,-5.860886
"Steindachnerina dobula",-65.663,-11.631
"Steindachnerina dobula",-77.840133,-4.662945
"Steindachnerina dobula",-76.753402,0.488973
"Steindachnerina dobula",-76.245853,0.214107
"Steindachnerina dobula",-77.727559,-4.128046
"Steindachnerina dobula",-77.47942,-2.018148
"Steindachnerina dobula",-65.3,-16.739444
"Steindachnerina dobula",-76.170449,-6.004655
"Steindachnerina dobula",-70.048607,-2.752375
"Steindachnerina dobula",-75.5375,1.520833
"Steindachnerina dobula",-75.881557,0.304569
"Steindachnerina dobula",-74.595812,-8.197086
"Steindachnerina dobula",-77.12959,0.539002
"Steindachnerina dobula",-77.802538,-4.580615
"Steindachnerina dobula",-76.147247,-5.770467
"Steindachnerina dobula",-77.461654,-1.462331
"Steindachnerina dobula",-74.55436,0.426076
"Steindachnerina dobula",-59.320833,-15.2125
"Steindachnerina dobula",-78.05971,-4.901842
"Steindachnerina dobula",-75.620496,0.868846
"Steindachnerina dobula",-74.705278,-8.941258
"Steindachnerina dobula",-69.541667,-11.270833
"Steindachnerina dobula",-74.25186,-8.455403
"Steindachnerina dobula",-77.624005,-4.086167
"Steindachnerina dobula",-76.530647,-4.093612
"Steindachnerina dobula",-75.008927,0.282594
"Steindachnerina dobula",-77.582212,-1.897081
"Steindachnerina dobula",-77.81233,-4.531581
"Steindachnerina dobula",-76.43088,0.253701
"Steindachnerina dobula",-76.98058,0.587289
"Steindachnerina dobula",-69.30639,-11.46278
"Steindachnerina dobula",-77.546382,-1.488521
"Steindachnerina dobula",-75.930542,0.227982
"Steindachnerina dobula",-77.294458,0.486696
"Steindachnerina dobula",-77.445329,-1.306599
"Steindachnerina dobula",-75.999604,-6.012269
"Steindachnerina dobula",-77.490565,0.667662
"Steindachnerina dobula",-77.21419,-1.396086
"Steindachnerina dobula",-76.287034,0.520262
"Steindachnerina dobula",-74.595003,-8.313573
"Steindachnerina dobula",-69.291667,-11.454167
"Steindachnerina dobula",-77.786045,-3.500282
"Steindachnerina dobula",-76.027681,-5.94612
"Steindachnerina dobula",-74.499537,0.388004
"Steindachnerina dobula",-74.478267,-8.295833
"Steindachnerina dobula",-77.172311,-1.477559
"Steindachnerina dobula",-75.678364,0.93509
"Steindachnerina dobula",-69.2625,-12.6625
"Steindachnerina dobula",-75.512035,0.849387
"Steindachnerina dobula",-75.263809,0.729081
"Steindachnerina dobula",-74.475054,-8.529643
"Steindachnerina dobula",-77.86325,-4.591543
"Steindachnerina dobula",-72.188518,-4.757378
"Steindachnerina dobula",-76.899987,0.487856
"Steindachnerina dobula",-75.762883,0.838389
"Steindachnerina dobula",-77.930267,-4.897274
"Steindachnerina dobula",-74.5625,-8.295833
"Steindachnerina dobula",-76.396404,0.503363
"Steindachnerina dobula",-66.729167,-14.879167
"Steindachnerina dobula",-74.487427,-8.421139
"Steindachnerina dobula",-73.345833,-3.779167
"Steindachnerina dobula",-77.8625,-4.6125
"Steindachnerina dobula",-77.363196,-1.212937
"Steindachnerina dobula",-70.753185,-13.232665
"Steindachnerina dobula",-77.652539,-1.404056
"Steindachnerina dobula",-77.209286,-1.279187
"Steindachnerina dobula",-76.619105,0.211031
"Steindachnerina dobula",-77.743215,-3.826744
