"specie","longitude","latitude"
"Steindachnerina elegans",-45.25472,-18.18917
"Steindachnerina elegans",-44.954791,-17.336154
"Steindachnerina elegans",-43.938299,-11.235447
"Steindachnerina elegans",-45.900583,-16.133611
"Steindachnerina elegans",-44.02967,-11.421235
"Steindachnerina elegans",-41.243056,-12.246389
"Steindachnerina elegans",-44.895833,-18.7625
"Steindachnerina elegans",-40.170833,-15.895833
"Steindachnerina elegans",-39.195833,-14.695833
"Steindachnerina elegans",-44.973301,-12.3633
"Steindachnerina elegans",-44.611667,-13.1925
"Steindachnerina elegans",-41.328611,-12.660306
"Steindachnerina elegans",-39.191389,-14.653788
"Steindachnerina elegans",-44.345833,-17.345833
"Steindachnerina elegans",-39.1875,-14.6875
"Steindachnerina elegans",-45.848056,-12.716667
"Steindachnerina elegans",-44.554167,-13.329167
"Steindachnerina elegans",-41.970833,-12.8875
"Steindachnerina elegans",-39.405605,-14.322906
"Steindachnerina elegans",-39.388943,-14.679709
"Steindachnerina elegans",-39.145833,-14.7125
"Steindachnerina elegans",-41.3375,-12.679167
"Steindachnerina elegans",-45.150002,-18.633333
"Steindachnerina elegans",-43.959658,-19.462923
"Steindachnerina elegans",-40.420833,-8.520833
"Steindachnerina elegans",-39.8125,-14.370833
"Steindachnerina elegans",-39.119978,-14.654606
"Steindachnerina elegans",-41.327222,-12.493611
"Steindachnerina elegans",-44.805556,-12.996667
"Steindachnerina elegans",-44.286833,-17.320472
"Steindachnerina elegans",-44.4125,-13.379167
"Steindachnerina elegans",-40.110343,-12.330085
"Steindachnerina elegans",-39.2625,-14.679167
"Steindachnerina elegans",-44.295833,-14.354167
"Steindachnerina elegans",-45.870833,-12.4125
"Steindachnerina elegans",-40.520833,-12.995833
"Steindachnerina elegans",-43.429713,-13.250502
"Steindachnerina elegans",-40.179167,-15.395833
"Steindachnerina elegans",-44.621389,-13.185
"Steindachnerina elegans",-39.128544,-14.59807
"Steindachnerina elegans",-44.629167,-13.545833
"Steindachnerina elegans",-44.954167,-17.345833
"Steindachnerina elegans",-44.1125,-17.7625
"Steindachnerina elegans",-43.907778,-13.297222
"Steindachnerina elegans",-40.6375,-19.545833
"Steindachnerina elegans",-39.346594,-14.135404
"Steindachnerina elegans",-44.537898,-14.184226
"Steindachnerina elegans",-39.295833,-14.579167
"Steindachnerina elegans",-40.3875,-16.2625
"Steindachnerina elegans",-39.2625,-14.6125
"Steindachnerina elegans",-44.148888,-14.594722
"Steindachnerina elegans",-42.979167,-20.395833
"Steindachnerina elegans",-39.970833,-16.004167
"Steindachnerina elegans",-43.870833,-16.720833
"Steindachnerina elegans",-39.398056,-14.393056
"Steindachnerina elegans",-44.1625,-17.979167
"Steindachnerina elegans",-42.876053,-20.226646
"Steindachnerina elegans",-40.730368,-9.445532
"Steindachnerina elegans",-44.992222,-12.348889
"Steindachnerina elegans",-41.37,-12.112222
"Steindachnerina elegans",-39.9125,-8.979167
"Steindachnerina elegans",-47.2875,-16.2125
"Steindachnerina elegans",-44.920833,-14.645833
"Steindachnerina elegans",-44.636667,-15.671667
"Steindachnerina elegans",-44.995833,-12.004167
"Steindachnerina elegans",-43.445833,-13.4875
"Steindachnerina elegans",-43.820833,-17.9375
"Steindachnerina elegans",-39.41525,-14.366815
"Steindachnerina elegans",-39.927323,-12.520614
"Steindachnerina elegans",-39.354485,-14.761166
"Steindachnerina elegans",-44.68111,-19.16
"Steindachnerina elegans",-44.753887,-18.861944
"Steindachnerina elegans",-44.705833,-13.75278
"Steindachnerina elegans",-40.745833,-19.204167
"Steindachnerina elegans",-44.820833,-14.879167
"Steindachnerina elegans",-45.695833,-13.804167
"Steindachnerina elegans",-44.529252,-11.41838
"Steindachnerina elegans",-38.470833,-12.979167
"Steindachnerina elegans",-39.271589,-14.604923
"Steindachnerina elegans",-40.1875,-16.1375
"Steindachnerina elegans",-44.945833,-17.429167
"Steindachnerina elegans",-39.162327,-14.629803
"Steindachnerina elegans",-41.291944,-12.760833
"Steindachnerina elegans",-42.759998,-14.845555
"Steindachnerina elegans",-44.436944,-13.355833
"Steindachnerina elegans",-44.945833,-17.3625
"Steindachnerina elegans",-40.278809,-12.261556
"Steindachnerina elegans",-41.207222,-12.501111
"Steindachnerina elegans",-40.178358,-8.839044
"Steindachnerina elegans",-39.629167,-10.970833
"Steindachnerina elegans",-42.456,-17.49
"Steindachnerina elegans",-40.626266,-15.275633
"Steindachnerina elegans",-45.742779,-20.148333
"Steindachnerina elegans",-39.669111,-10.985778
"Steindachnerina elegans",-42.545833,-17.4375
"Steindachnerina elegans",-44.1875,-18.529167
"Steindachnerina elegans",-41.333889,-16.509722
"Steindachnerina elegans",-45.483334,-19.766666
"Steindachnerina elegans",-44.1,-17.370833
"Steindachnerina elegans",-39.516012,-14.220113
"Steindachnerina elegans",-44.629167,-17.129167
"Steindachnerina elegans",-44.383333,-17.263889
"Steindachnerina elegans",-44.229167,-14.304167
"Steindachnerina elegans",-41.162222,-12.236389
"Steindachnerina elegans",-42.962776,-15.249444
"Steindachnerina elegans",-39.504167,-15.529167
"Steindachnerina elegans",-44.104167,-15.170833
"Steindachnerina elegans",-44.2125,-15.170833
"Steindachnerina elegans",-44.18,-17.9925
"Steindachnerina elegans",-44.416667,-17.241667
"Steindachnerina elegans",-39.221426,-14.662941
"Steindachnerina elegans",-40.220687,-9.051494
"Steindachnerina elegans",-44.996578,-12.138312
"Steindachnerina elegans",-44.954963,-17.336154
"Steindachnerina elegans",-41.845833,-15.7125
"Steindachnerina elegans",-39.678907,-12.643394
"Steindachnerina elegans",-39.279167,-14.654167
"Steindachnerina elegans",-44.2875,-19.945833
"Steindachnerina elegans",-43.504167,-13.820833
"Steindachnerina elegans",-44.528332,-14.239445
"Steindachnerina elegans",-43.997501,-18.686666
"Steindachnerina elegans",-44.233891,-15.345555
"Steindachnerina elegans",-44.637,-15.672
"Steindachnerina elegans",-44.204167,-15.179167
"Steindachnerina elegans",-42.604167,-19.770833
"Steindachnerina elegans",-44.670833,-19.729167
"Steindachnerina elegans",-39.322422,-14.719994
"Steindachnerina elegans",-39.294902,-14.315333
"Steindachnerina elegans",-39.666394,-14.18109
"Steindachnerina elegans",-42.825001,-14.213333
"Steindachnerina elegans",-39.456136,-14.678931
"Steindachnerina elegans",-41.6875,-12.9125
"Steindachnerina elegans",-45.845556,-12.707222
"Steindachnerina elegans",-39.17079,-14.405181
"Steindachnerina elegans",-44.395833,-15.595833
"Steindachnerina elegans",-40.274248,-12.800439
"Steindachnerina elegans",-39.741585,-14.13826
"Steindachnerina elegans",-44.591667,-18.358612
"Steindachnerina elegans",-41.162222,-12.236111
"Steindachnerina elegans",-39.6105,-10.961306
"Steindachnerina elegans",-41.495833,-16.570833
"Steindachnerina elegans",-44.333332,-13.4
"Steindachnerina elegans",-44.404167,-15.545833
"Steindachnerina elegans",-45.470833,-20.304167
"Steindachnerina elegans",-41.12075,-12.112306
"Steindachnerina elegans",-39.328889,-14.884722
"Steindachnerina elegans",-43.923889,-19.574444
"Steindachnerina elegans",-40.178358,-8.839041
"Steindachnerina elegans",-40.403017,-12.174468
"Steindachnerina elegans",-44.465833,-19.2075
"Steindachnerina elegans",-40.4375,-15.2375
"Steindachnerina elegans",-39.555035,-14.316243
"Steindachnerina elegans",-43.714286,-12.527103
"Steindachnerina elegans",-44.604167,-12.629167
"Steindachnerina elegans",-39.328888,-14.884722
"Steindachnerina elegans",-44.729167,-17.429167
"Steindachnerina elegans",-40.4875,-12.2625
"Steindachnerina elegans",-44.295833,-13.579167
"Steindachnerina elegans",-44.4125,-19.2625
"Steindachnerina elegans",-39.426944,-14.407222
"Steindachnerina elegans",-39.36,-14.573889
"Steindachnerina elegans",-39.329167,-14.504167
"Steindachnerina elegans",-44.2875,-17.4625
"Steindachnerina elegans",-39.879167,-15.595833
"Steindachnerina elegans",-44.461,-13.631472
"Steindachnerina elegans",-40.179167,-16.1375
"Steindachnerina elegans",-44.333333,-13.4
"Steindachnerina elegans",-42.829167,-14.2125
"Steindachnerina elegans",-42.962778,-15.249444
"Steindachnerina elegans",-44.753889,-18.861944
"Steindachnerina elegans",-42.76,-14.845556
"Steindachnerina elegans",-45.188219,-11.811212
"Steindachnerina elegans",-44.591667,-18.358611
"Steindachnerina elegans",-44.954167,-17.4375
