"specie","longitude","latitude"
"Steindachnerina fasciata",-59.445696,-10.82905
"Steindachnerina fasciata",-55.320833,-11.2875
"Steindachnerina fasciata",-55.179167,-10.870833
"Steindachnerina fasciata",-55.879167,-9.945833
"Steindachnerina fasciata",-55.653965,-10.462256
"Steindachnerina fasciata",-56.504713,-14.136454
"Steindachnerina fasciata",-55.7125,-10.604167
"Steindachnerina fasciata",-61.555557,-11.437778
"Steindachnerina fasciata",-62.168056,-10.750278
"Steindachnerina fasciata",-61.854167,-11.354167
"Steindachnerina fasciata",-62.5375,-10.420833
"Steindachnerina fasciata",-59.690834,-14.223889
"Steindachnerina fasciata",-62.386665,-10.455
"Steindachnerina fasciata",-62.1125,-10.745833
"Steindachnerina fasciata",-59.2875,-14.904167
"Steindachnerina fasciata",-62.35387,-10.779505
"Steindachnerina fasciata",-61.204167,-11.645833
"Steindachnerina fasciata",-62.370277,-10.569722
"Steindachnerina fasciata",-54.396293,-10.329242
"Steindachnerina fasciata",-54.306111,-10.386111
"Steindachnerina fasciata",-59.298032,-10.303152
"Steindachnerina fasciata",-59.354377,-9.977261
"Steindachnerina fasciata",-59.572146,-9.876753
"Steindachnerina fasciata",-59.655141,-10.10442
"Steindachnerina fasciata",-59.4625,-10.204167
"Steindachnerina fasciata",-55.332128,-9.920924
"Steindachnerina fasciata",-54.91228,-9.82827
"Steindachnerina fasciata",-59.85616,-7.46415
"Steindachnerina fasciata",-59.420833,-9.604167
"Steindachnerina fasciata",-59.209271,-10.513911
"Steindachnerina fasciata",-60.354167,-11.104167
"Steindachnerina fasciata",-59.097755,-10.80855
"Steindachnerina fasciata",-55.929167,-9.5875
"Steindachnerina fasciata",-59.670531,-10.312908
"Steindachnerina fasciata",-59.37176,-9.832914
"Steindachnerina fasciata",-58.3375,-11.3375
"Steindachnerina fasciata",-60.431389,-8.711667
"Steindachnerina fasciata",-56.315278,-9.549444
"Steindachnerina fasciata",-59.662707,-10.185247
"Steindachnerina fasciata",-59.476763,-10.493597
"Steindachnerina fasciata",-59.745906,-10.804599
"Steindachnerina fasciata",-59.204167,-11.5125
"Steindachnerina fasciata",-59.496919,-10.65041
"Steindachnerina fasciata",-60.598024,-10.402758
"Steindachnerina fasciata",-59.24543,-11.00845
"Steindachnerina fasciata",-59.24598,-10.087119
"Steindachnerina fasciata",-59.370131,-10.030749
"Steindachnerina fasciata",-57.253802,-8.907502
"Steindachnerina fasciata",-58.871677,-11.252386
"Steindachnerina fasciata",-58.2875,-10.454167
"Steindachnerina fasciata",-61.813222,-9.0275
"Steindachnerina fasciata",-62.27917,-11.72694
"Steindachnerina fasciata",-59.061715,-9.978235
"Steindachnerina fasciata",-62.33111,-10.61417
"Steindachnerina fasciata",-61.9625,-11.004167
"Steindachnerina fasciata",-56.7125,-9.379167
"Steindachnerina fasciata",-56.489167,-9.452778
"Steindachnerina fasciata",-60.645833,-12.8125
"Steindachnerina fasciata",-62.6375,-10.304167
"Steindachnerina fasciata",-55.545556,-11.432417
"Steindachnerina fasciata",-62.0375,-10.7875
"Steindachnerina fasciata",-58.504167,-10.8875
"Steindachnerina fasciata",-59.613352,-10.002648
"Steindachnerina fasciata",-59.519392,-10.112993
"Steindachnerina fasciata",-59.771601,-9.978269
"Steindachnerina fasciata",-55.807777,-10.238055
"Steindachnerina fasciata",-54.954811,-10.073564
"Steindachnerina fasciata",-58.76285,-11.36176
"Steindachnerina fasciata",-55.6625,-11.9125
"Steindachnerina fasciata",-54.178333,-10.436111
"Steindachnerina fasciata",-61.9775,-11.09194
"Steindachnerina fasciata",-56.778056,-9.321667
"Steindachnerina fasciata",-60.195833,-9.645833
"Steindachnerina fasciata",-56.34741,-9.848967
"Steindachnerina fasciata",-59.204167,-9.920833
"Steindachnerina fasciata",-59.51757,-10.933043
"Steindachnerina fasciata",-58.3875,-11.7125
"Steindachnerina fasciata",-55.56889,-10.118611
"Steindachnerina fasciata",-59.795833,-11.454167
"Steindachnerina fasciata",-56.633611,-9.932222
"Steindachnerina fasciata",-57.124167,-9.401944
"Steindachnerina fasciata",-61.995833,-11.204167
"Steindachnerina fasciata",-59.454167,-10.1625
"Steindachnerina fasciata",-59.503056,-10.079209
"Steindachnerina fasciata",-61.395833,-11.8625
"Steindachnerina fasciata",-62.55972,-10.88806
"Steindachnerina fasciata",-59.11096,-10.235632
"Steindachnerina fasciata",-55.123427,-10.509864
"Steindachnerina fasciata",-56.711944,-9.514444
"Steindachnerina fasciata",-61.5375,-11.745833
"Steindachnerina fasciata",-55.679167,-9.945833
"Steindachnerina fasciata",-62.1875,-11.370833
"Steindachnerina fasciata",-59.8875,-7.2125
"Steindachnerina fasciata",-59.503909,-10.161237
"Steindachnerina fasciata",-55.316111,-11.105556
"Steindachnerina fasciata",-59.456389,-10.054487
"Steindachnerina fasciata",-56.645833,-9.6125
"Steindachnerina fasciata",-61.97944,-11.0575
"Steindachnerina fasciata",-55.578631,-11.486542
"Steindachnerina fasciata",-61.5375,-11.804167
"Steindachnerina fasciata",-59.389255,-10.078765
"Steindachnerina fasciata",-55.033289,-9.956711
