"specie","longitude","latitude"
"Steindachnerina gracilis",-50.34289,-9.752145
"Steindachnerina gracilis",-50.798782,-13.666682
"Steindachnerina gracilis",-51.9875,-15.854167
"Steindachnerina gracilis",-51.870915,-14.504208
"Steindachnerina gracilis",-50.910934,-14.162794
"Steindachnerina gracilis",-51.869051,-15.256099
"Steindachnerina gracilis",-51.895701,-14.928686
"Steindachnerina gracilis",-48.138,-8.996
"Steindachnerina gracilis",-48.18,-8.956
"Steindachnerina gracilis",-48.246,-9.088
"Steindachnerina gracilis",-48.213,-9.132
"Steindachnerina gracilis",-48.456,-9.272
"Steindachnerina gracilis",-48.362,-9.413
"Steindachnerina gracilis",-48.320833,-9.304167
"Steindachnerina gracilis",-48.285,-9.916
"Steindachnerina gracilis",-48.3,-9.789
"Steindachnerina gracilis",-48.371,-9.702
"Steindachnerina gracilis",-48.427,-9.783
"Steindachnerina gracilis",-48.558,-9.827
"Steindachnerina gracilis",-48.372,-9.939
"Steindachnerina gracilis",-50.6625,-13.379167
"Steindachnerina gracilis",-51.095,-14.955
"Steindachnerina gracilis",-49.579,-3.696
"Steindachnerina gracilis",-48.4625,-11.3125
"Steindachnerina gracilis",-48.8313,-5.289795
"Steindachnerina gracilis",-51.014321,-15.33263
"Steindachnerina gracilis",-48.395833,-10.8375
"Steindachnerina gracilis",-48.535,-10.996111
"Steindachnerina gracilis",-48.370833,-9.7625
"Steindachnerina gracilis",-48.420556,-10.720833
"Steindachnerina gracilis",-48.179444,-8.974444
"Steindachnerina gracilis",-51.055833,-9.819722
"Steindachnerina gracilis",-52.254167,-15.895833
"Steindachnerina gracilis",-49.111554,-5.316072
"Steindachnerina gracilis",-48.383333,-12.25
"Steindachnerina gracilis",-47.953889,-7.930278
"Steindachnerina gracilis",-52.602628,-15.774823
"Steindachnerina gracilis",-50.421226,-10.32589
"Steindachnerina gracilis",-48.617222,-11.790833
"Steindachnerina gracilis",-48.394722,-12.238333
"Steindachnerina gracilis",-48.228056,-12.5225
"Steindachnerina gracilis",-49.8875,-6.504167
"Steindachnerina gracilis",-50.161389,-9.720556
"Steindachnerina gracilis",-48.4125,-10.729167
"Steindachnerina gracilis",-48.365556,-9.750556
"Steindachnerina gracilis",-50.570833,-13.220833
"Steindachnerina gracilis",-48.629167,-11.795833
"Steindachnerina gracilis",-51.055832,-9.819722
"Steindachnerina gracilis",-50.8,-13.666667
"Steindachnerina gracilis",-50.979216,-14.462382
"Steindachnerina gracilis",-51.087901,-14.917238
