"specie","longitude","latitude"
"Steindachnerina guentheri",-71.520833,-7.004167
"Steindachnerina guentheri",-76.698605,0.397652
"Steindachnerina guentheri",-76.4578,-3.2036
"Steindachnerina guentheri",-77.153152,0.686696
"Steindachnerina guentheri",-58.24321,4.965582
"Steindachnerina guentheri",-58.24044,4.90938
"Steindachnerina guentheri",-72.154167,-2.9375
"Steindachnerina guentheri",-69.945833,-4.129167
"Steindachnerina guentheri",-62.704167,8.3625
"Steindachnerina guentheri",-58.2375,5.404167
"Steindachnerina guentheri",-69.94806,-4.123767
"Steindachnerina guentheri",-72.7125,-2.845833
"Steindachnerina guentheri",-59.2375,7.670833
"Steindachnerina guentheri",-77.2875,0.545833
"Steindachnerina guentheri",-69.2917,-12.8264
"Steindachnerina guentheri",-62.429167,8.5375
"Steindachnerina guentheri",-64.13259,7.609556
"Steindachnerina guentheri",-69.2917,-12.8417
"Steindachnerina guentheri",-77.447762,0.136848
"Steindachnerina guentheri",-76.529167,-9.270833
"Steindachnerina guentheri",-72.5625,3.445833
"Steindachnerina guentheri",-73.120833,4.1625
"Steindachnerina guentheri",-77.582212,-1.897081
"Steindachnerina guentheri",-72.907861,-2.82049
"Steindachnerina guentheri",-71.179167,-12.8875
"Steindachnerina guentheri",-59.754167,8.329167
"Steindachnerina guentheri",-58.6781,5.29869
"Steindachnerina guentheri",-73.6375,3.8625
"Steindachnerina guentheri",-77.303691,0.362484
"Steindachnerina guentheri",-77.244458,0.494691
"Steindachnerina guentheri",-59.3875,7.520833
"Steindachnerina guentheri",-76.975144,0.67758
"Steindachnerina guentheri",-58.7125,5.245833
"Steindachnerina guentheri",-77.546382,-1.488521
"Steindachnerina guentheri",-69.946031,-4.128462
"Steindachnerina guentheri",-77.479167,-1.495833
"Steindachnerina guentheri",-76.404167,0.9875
"Steindachnerina guentheri",-76.98058,0.587289
"Steindachnerina guentheri",-76.954167,0.4375
"Steindachnerina guentheri",-75.754167,1.545833
"Steindachnerina guentheri",-72.695833,4.320833
"Steindachnerina guentheri",-72.61,3.11
"Steindachnerina guentheri",-58.2875,5.729167
"Steindachnerina guentheri",-76.9625,0.4875
"Steindachnerina guentheri",-72.154167,4.541667
"Steindachnerina guentheri",-71.269027,-13.19098
"Steindachnerina guentheri",-68.920833,-10.9125
"Steindachnerina guentheri",-58.929167,7.654167
"Steindachnerina guentheri",-75.795833,1.4375
"Steindachnerina guentheri",-77.577817,-1.358376
"Steindachnerina guentheri",-67.870833,-9.9375
"Steindachnerina guentheri",-71.379167,-11.829167
"Steindachnerina guentheri",-77.8783,-1.1967
"Steindachnerina guentheri",-76.879937,0.688983
"Steindachnerina guentheri",-73.154167,-6.304167
"Steindachnerina guentheri",-75.495833,-1.395833
"Steindachnerina guentheri",-75.870833,1.4375
"Steindachnerina guentheri",-76.3625,-3.270833
"Steindachnerina guentheri",-59.362014,7.252527
"Steindachnerina guentheri",-59.329167,7.304167
"Steindachnerina guentheri",-70.129167,-3.970833
"Steindachnerina guentheri",-74.920833,-9.6125
"Steindachnerina guentheri",-75.404167,1.379167
"Steindachnerina guentheri",-77.420664,0.485216
"Steindachnerina guentheri",-68.620833,-9.754167
"Steindachnerina guentheri",-58.9625,5.2625
"Steindachnerina guentheri",-68.7333,-11.3103
"Steindachnerina guentheri",-59.545833,7.5125
"Steindachnerina guentheri",-71.296167,7.700833
"Steindachnerina guentheri",-68.495552,-9.278334
"Steindachnerina guentheri",-58.16483,5.17152
"Steindachnerina guentheri",-75.930542,0.227982
"Steindachnerina guentheri",-73.30081,-3.8299
"Steindachnerina guentheri",-76.879167,0.120833
"Steindachnerina guentheri",-77.12959,0.539002
"Steindachnerina guentheri",-71.414109,-2.864413
"Steindachnerina guentheri",-73.6625,3.954167
"Steindachnerina guentheri",-76.1875,0.2875
"Steindachnerina guentheri",-77.579167,-1.3625
"Steindachnerina guentheri",-61.420833,8.4625
"Steindachnerina guentheri",-67.5625,-9.595833
"Steindachnerina guentheri",-71.420833,-11.8875
"Steindachnerina guentheri",-77.88,-1.2133
"Steindachnerina guentheri",-74.9375,-9.6125
"Steindachnerina guentheri",-77.8405,-4.62998
"Steindachnerina guentheri",-58.16336,5.17456
"Steindachnerina guentheri",-77.294458,0.486696
"Steindachnerina guentheri",-72.295833,1.5375
"Steindachnerina guentheri",-65.9625,8.320833
"Steindachnerina guentheri",-62.541667,8.679167
"Steindachnerina guentheri",-59.345595,7.16758
"Steindachnerina guentheri",-58.19616,5.15107
"Steindachnerina guentheri",-68.743,-11.314
"Steindachnerina guentheri",-69.3125,-12.795833
"Steindachnerina guentheri",-72.5125,3.429167
"Steindachnerina guentheri",-59.829167,8.154167
"Steindachnerina guentheri",-65.344444,-10.443055
"Steindachnerina guentheri",-73.747806,3.979806
"Steindachnerina guentheri",-71.220833,-12.170833
"Steindachnerina guentheri",-73.629167,4.1625
"Steindachnerina guentheri",-75.467841,1.390923
"Steindachnerina guentheri",-76.975144,0.677579
"Steindachnerina guentheri",-77.652539,-1.404056
"Steindachnerina guentheri",-62.179167,8.6875
"Steindachnerina guentheri",-76.43088,0.253701
"Steindachnerina guentheri",-76.879937,0.688986
"Steindachnerina guentheri",-65.1625,-4.979167
"Steindachnerina guentheri",-69.1625,-12.504167
"Steindachnerina guentheri",-77.826,-1.919
"Steindachnerina guentheri",-73.320833,3.8625
"Steindachnerina guentheri",-58.24087,4.85843
"Steindachnerina guentheri",-76.829167,0.170833
"Steindachnerina guentheri",-67.529167,6.1625
"Steindachnerina guentheri",-61.970833,-9.5125
"Steindachnerina guentheri",-78.745833,-5.3875
"Steindachnerina guentheri",-67.6875,-10.4125
"Steindachnerina guentheri",-71.220833,-12.404167
"Steindachnerina guentheri",-71.5875,-11.770833
"Steindachnerina guentheri",-62.2125,8.6625
"Steindachnerina guentheri",-67.65775,-10.265167
"Steindachnerina guentheri",-58.693,6.3612
"Steindachnerina guentheri",-62.170833,8.695833
"Steindachnerina guentheri",-58.2375,5.2375
"Steindachnerina guentheri",-72.679167,-5.541667
"Steindachnerina guentheri",-59.496256,7.547801
"Steindachnerina guentheri",-76.345782,0.378659
"Steindachnerina guentheri",-73.629167,3.4125
"Steindachnerina guentheri",-72.570833,3.5375
"Steindachnerina guentheri",-73.6125,3.270833
"Steindachnerina guentheri",-73.645833,3.429167
"Steindachnerina guentheri",-73.454167,3.870833
"Steindachnerina guentheri",-76.4375,0.545833
"Steindachnerina guentheri",-72.929167,3.2375
"Steindachnerina guentheri",-73.773139,2.243361
"Steindachnerina guentheri",-76.204167,0.154167
"Steindachnerina guentheri",-76.604167,0.404167
"Steindachnerina guentheri",-73.76,3.82
"Steindachnerina guentheri",-71.486389,5.934444
"Steindachnerina guentheri",-72.120833,4.154167
"Steindachnerina guentheri",-76.945833,0.529167
"Steindachnerina guentheri",-71.4875,5.9125
"Steindachnerina guentheri",-73.579167,4.1125
"Steindachnerina guentheri",-70.901298,-13.183103
"Steindachnerina guentheri",-68.75,-11.314
"Steindachnerina guentheri",-76.629167,0.208333
"Steindachnerina guentheri",-65.30116,4.7286
"Steindachnerina guentheri",-62.998333,-10.243611
"Steindachnerina guentheri",-76.41333,-3.625555
"Steindachnerina guentheri",-72.737631,-3.114915
"Steindachnerina guentheri",-73.8875,2.295833
"Steindachnerina guentheri",-73.570833,3.870833
"Steindachnerina guentheri",-72.7625,4.620833
"Steindachnerina guentheri",-68.7125,-9.604167
"Steindachnerina guentheri",-68.753216,-9.620646
"Steindachnerina guentheri",-65.604167,5.504167
"Steindachnerina guentheri",-71.404167,3.820833
