"specie","longitude","latitude"
"Steindachnerina hypostoma",-69.726667,-2.880833
"Steindachnerina hypostoma",-76.5617,-4.2711
"Steindachnerina hypostoma",-75.246853,0.812572
"Steindachnerina hypostoma",-64.716667,-3.366667
"Steindachnerina hypostoma",-73.230294,-3.757097
"Steindachnerina hypostoma",-73.2875,-3.729167
"Steindachnerina hypostoma",-60.979167,1.945833
"Steindachnerina hypostoma",-59.795833,-3.220833
"Steindachnerina hypostoma",-64.679167,-3.254167
"Steindachnerina hypostoma",-73.245833,-3.7625
"Steindachnerina hypostoma",-77.86325,-4.591543
"Steindachnerina hypostoma",-69.5875,-12.554167
"Steindachnerina hypostoma",-64.6125,-9.204167
"Steindachnerina hypostoma",-73.104463,-3.481106
"Steindachnerina hypostoma",-73.195833,-4.129167
"Steindachnerina hypostoma",-64.781944,-3.116945
"Steindachnerina hypostoma",-64.645,-9.261944
"Steindachnerina hypostoma",-73.229167,-3.6875
"Steindachnerina hypostoma",-73.170833,-3.7625
"Steindachnerina hypostoma",-73.879167,-3.4875
"Steindachnerina hypostoma",-66.789036,-2.746066
"Steindachnerina hypostoma",-74.49133,-2.58731
"Steindachnerina hypostoma",-74.5125,-4.579167
"Steindachnerina hypostoma",-72.685278,-7.659444
"Steindachnerina hypostoma",-64.679167,-3.320833
"Steindachnerina hypostoma",-67.9625,-3.129167
"Steindachnerina hypostoma",-76.108583,-5.883778
"Steindachnerina hypostoma",-59.946091,-3.239697
"Steindachnerina hypostoma",-73.2125,-3.7125
"Steindachnerina hypostoma",-64.704167,-3.2875
"Steindachnerina hypostoma",-73.36378,-3.78184
"Steindachnerina hypostoma",-65.223889,-11.610556
"Steindachnerina hypostoma",-70.329167,-4.3375
"Steindachnerina hypostoma",-69.946982,-4.224876
"Steindachnerina hypostoma",-69.764444,-2.730278
"Steindachnerina hypostoma",-69.7375,-2.820833
"Steindachnerina hypostoma",-64.720833,-9.320833
"Steindachnerina hypostoma",-73.963508,-3.515069
"Steindachnerina hypostoma",-70.429167,-3.795833
