"specie","longitude","latitude"
"Steindachnerina insculpta",-49.26667,-20.41667
"Steindachnerina insculpta",-49.395833,-21.179167
"Steindachnerina insculpta",-50.945833,-23.191111
"Steindachnerina insculpta",-48.004167,-23.129167
"Steindachnerina insculpta",-51.770833,-23.3875
"Steindachnerina insculpta",-48.370278,-17.483889
"Steindachnerina insculpta",-56.1375,-15.620833
"Steindachnerina insculpta",-47.804167,-21.629167
"Steindachnerina insculpta",-46.946347,-22.237923
"Steindachnerina insculpta",-50.9375,-23.179167
"Steindachnerina insculpta",-51.5625,-22.9875
"Steindachnerina insculpta",-49.858611,-18.813056
"Steindachnerina insculpta",-49.968719,-22.950768
"Steindachnerina insculpta",-49.679167,-20.404167
"Steindachnerina insculpta",-44.895833,-21.404167
"Steindachnerina insculpta",-49.445833,-20.6375
"Steindachnerina insculpta",-47.795972,-21.60621
"Steindachnerina insculpta",-50.945833,-23.208333
"Steindachnerina insculpta",-47.1625,-23.416667
"Steindachnerina insculpta",-49.40306,-20.64528
"Steindachnerina insculpta",-49.379167,-20.879167
"Steindachnerina insculpta",-47.683611,-17.929444
"Steindachnerina insculpta",-47.7875,-22.3875
"Steindachnerina insculpta",-47.154167,-23.295833
"Steindachnerina insculpta",-47.645833,-23.5125
"Steindachnerina insculpta",-50.929167,-23.2125
"Steindachnerina insculpta",-49.9683,-22.9489
"Steindachnerina insculpta",-56.29,-15.240833
"Steindachnerina insculpta",-49.983333,-22.9
"Steindachnerina insculpta",-48.5,-17.733334
"Steindachnerina insculpta",-54.2375,-24.770833
"Steindachnerina insculpta",-47.665701,-22.380773
"Steindachnerina insculpta",-47.695833,-18.679167
"Steindachnerina insculpta",-49.804167,-23.7125
"Steindachnerina insculpta",-55.1125,-22.254167
"Steindachnerina insculpta",-47.280278,-17.13
"Steindachnerina insculpta",-49.37722,-20.88167
"Steindachnerina insculpta",-49.2625,-20.4125
"Steindachnerina insculpta",-48.1125,-22.2875
"Steindachnerina insculpta",-52.52,-19.531944
"Steindachnerina insculpta",-50.7125,-21.420833
"Steindachnerina insculpta",-50.282114,-20.59796
"Steindachnerina insculpta",-49.377201,-20.881701
"Steindachnerina insculpta",-50.95825,-23.305833
"Steindachnerina insculpta",-49.387333,-21.289192
"Steindachnerina insculpta",-53.704167,-22.5625
"Steindachnerina insculpta",-55.9151,-21.6157
"Steindachnerina insculpta",-47.670833,-21.854167
"Steindachnerina insculpta",-50.970833,-22.9875
"Steindachnerina insculpta",-50.0125,-18.3875
"Steindachnerina insculpta",-54.466667,-25.233334
"Steindachnerina insculpta",-49.195833,-21.745833
"Steindachnerina insculpta",-49.79694,-21.30167
"Steindachnerina insculpta",-54.8375,-19.8125
