"specie","longitude","latitude"
"Steindachnerina leucisca",-69.117,-11.4422
"Steindachnerina leucisca",-65.3875,-10.8125
"Steindachnerina leucisca",-60.279167,-3.404167
"Steindachnerina leucisca",-74.304167,-5.204167
"Steindachnerina leucisca",-62.945833,-7.745833
"Steindachnerina leucisca",-60.3625,-3.820833
"Steindachnerina leucisca",-70.254167,-7.5125
"Steindachnerina leucisca",-63.9125,-8.770833
"Steindachnerina leucisca",-65.245833,-15.279167
"Steindachnerina leucisca",-65.120833,-14.904167
"Steindachnerina leucisca",-67.8375,-2.9625
"Steindachnerina leucisca",-66.2625,-14.9375
"Steindachnerina leucisca",-59.946091,-3.239697
"Steindachnerina leucisca",-68.77513,-11.310189
"Steindachnerina leucisca",-65.1039,-15.42877
"Steindachnerina leucisca",-65.361667,-10.816667
"Steindachnerina leucisca",-61.4875,-3.1125
"Steindachnerina leucisca",-70.291667,-4.354167
"Steindachnerina leucisca",-73.170833,-3.7625
"Steindachnerina leucisca",-64.758333,-3.408333
"Steindachnerina leucisca",-68.770833,-11.3125
"Steindachnerina leucisca",-73.879167,-3.4875
"Steindachnerina leucisca",-69,-9.33
"Steindachnerina leucisca",-65.204167,0.429167
"Steindachnerina leucisca",-68.654167,-11.245833
"Steindachnerina leucisca",-66.804167,-2.504167
"Steindachnerina leucisca",-66.789036,-2.746066
"Steindachnerina leucisca",-72.7875,-8.945833
"Steindachnerina leucisca",-73.104463,-3.481106
"Steindachnerina leucisca",-66.729167,-14.879167
"Steindachnerina leucisca",-65.304167,-13.720833
"Steindachnerina leucisca",-77.86325,-4.591543
"Steindachnerina leucisca",-69.306222,-11.463597
"Steindachnerina leucisca",-55.495833,-1.8375
"Steindachnerina leucisca",-59.946606,-3.241644
"Steindachnerina leucisca",-73.230294,-3.757097
"Steindachnerina leucisca",-63.329167,-3.9125
"Steindachnerina leucisca",-67.270833,-2.5625
"Steindachnerina leucisca",-60.145833,-3.220833
"Steindachnerina leucisca",-76.108224,-5.884205
"Steindachnerina leucisca",-65.2375,-13.295833
"Steindachnerina leucisca",-69.291667,-11.454167
"Steindachnerina leucisca",-67.520833,-9.454167
"Steindachnerina leucisca",-64.995833,-14.879167
"Steindachnerina leucisca",-72.7625,-8.945833
"Steindachnerina leucisca",-68.98439,-11.43737
"Steindachnerina leucisca",-72.395833,-9.354167
"Steindachnerina leucisca",-62.201861,-8.837194
"Steindachnerina leucisca",-72.6625,-7.6375
"Steindachnerina leucisca",-73.195833,-4.129167
"Steindachnerina leucisca",-63.1375,-7.5125
"Steindachnerina leucisca",-70.364925,-3.784651
"Steindachnerina leucisca",-60.220833,-3.254167
"Steindachnerina leucisca",-67.970833,-3.129167
"Steindachnerina leucisca",-71.8625,-3.329167
"Steindachnerina leucisca",-71.379167,-11.829167
"Steindachnerina leucisca",-57.76,-2.53639
"Steindachnerina leucisca",-65.2875,-13.879167
"Steindachnerina leucisca",-68.75,-11.314
"Steindachnerina leucisca",-72.345833,-8.929167
"Steindachnerina leucisca",-56.620833,-2.670833
"Steindachnerina leucisca",-66.745125,-2.737857
"Steindachnerina leucisca",-68.804167,-10.995833
"Steindachnerina leucisca",-64.8375,-9.370833
"Steindachnerina leucisca",-64.2125,-8.845833
"Steindachnerina leucisca",-63.195833,-7.529167
"Steindachnerina leucisca",-59.9375,-3.229167
"Steindachnerina leucisca",-59.995833,-3.1625
"Steindachnerina leucisca",-60.283333,-3.416667
"Steindachnerina leucisca",-59.945833,-3.970833
"Steindachnerina leucisca",-68.754167,-9.620833
"Steindachnerina leucisca",-59.104167,-3.879167
"Steindachnerina leucisca",-74.320833,-5.1875
"Steindachnerina leucisca",-74.9375,-4.9875
"Steindachnerina leucisca",-65.286944,-10.854444
"Steindachnerina leucisca",-68.729167,-9.345833
"Steindachnerina leucisca",-64.789719,-3.210556
"Steindachnerina leucisca",-61.4875,-3.104167
"Steindachnerina leucisca",-62.879653,-8.538811
"Steindachnerina leucisca",-65.179167,-13.179167
"Steindachnerina leucisca",-67.745833,-11.129167
"Steindachnerina leucisca",-64.670833,-3.2625
"Steindachnerina leucisca",-68.458333,-11.270833
"Steindachnerina leucisca",-72.6875,-9.154167
"Steindachnerina leucisca",-65.5125,-2.5875
"Steindachnerina leucisca",-65.179167,-13.195833
"Steindachnerina leucisca",-72.5875,-9.204167
"Steindachnerina leucisca",-73.570833,-4.504167
"Steindachnerina leucisca",-61.555557,-11.437778
"Steindachnerina leucisca",-68.11603,-11.2928
"Steindachnerina leucisca",-74.920833,-7.654167
"Steindachnerina leucisca",-76.108583,-5.883778
"Steindachnerina leucisca",-64.784447,-3.1525
"Steindachnerina leucisca",-77.310047,-3.820371
"Steindachnerina leucisca",-64.6125,-9.204167
"Steindachnerina leucisca",-61.320833,-3.279167
"Steindachnerina leucisca",-69.946982,-4.224876
"Steindachnerina leucisca",-75.149123,-6.898436
"Steindachnerina leucisca",-76.458333,-5.9625
"Steindachnerina leucisca",-67.854167,-10.629167
"Steindachnerina leucisca",-67.51111,-5.31944
"Steindachnerina leucisca",-60.283333,-3.383333
"Steindachnerina leucisca",-57.419444,-8.846944
"Steindachnerina leucisca",-72.579167,-9.204167
"Steindachnerina leucisca",-72.683333,-9.15
"Steindachnerina leucisca",-57.7625,-2.5375
"Steindachnerina leucisca",-56.616667,-2.666667
