"specie","longitude","latitude"
"Steindachnerina notograptos",-48.239174,-12.311017
"Steindachnerina notograptos",-47.804167,-12.720833
"Steindachnerina notograptos",-47.870833,-12.604167
"Steindachnerina notograptos",-48.498096,-12.545727
"Steindachnerina notograptos",-47.837929,-9.877422
"Steindachnerina notograptos",-48.362415,-9.750746
"Steindachnerina notograptos",-46.854167,-13.620833
"Steindachnerina notograptos",-47.688673,-10.953684
"Steindachnerina notograptos",-47.604018,-13.854228
"Steindachnerina notograptos",-48.245833,-12.4625
"Steindachnerina notograptos",-48.2375,-12.8125
"Steindachnerina notograptos",-47.838223,-12.853404
"Steindachnerina notograptos",-47.361269,-12.926948
"Steindachnerina notograptos",-47.1195,-12.642944
"Steindachnerina notograptos",-47.622016,-12.714763
"Steindachnerina notograptos",-46.880142,-12.468188
"Steindachnerina notograptos",-47.684834,-13.086911
"Steindachnerina notograptos",-48.654167,-11.8375
"Steindachnerina notograptos",-48.385,-12.252
"Steindachnerina notograptos",-48.203,-12.481
"Steindachnerina notograptos",-48.413,-10.383
"Steindachnerina notograptos",-48.049,-12.568
"Steindachnerina notograptos",-48.28,-12.288
"Steindachnerina notograptos",-47.279,-12.428
