"specie","longitude","latitude"
"Steindachnerina notonota",-46.15,-5.816667
"Steindachnerina notonota",-45.245833,-5.504167
"Steindachnerina notonota",-42.829167,-5.820833
"Steindachnerina notonota",-39.6625,-3.304167
"Steindachnerina notonota",-40.4192,-4.22963
"Steindachnerina notonota",-41.129167,-3.2625
"Steindachnerina notonota",-38.795833,-5.3875
"Steindachnerina notonota",-47.495833,-4.570833
"Steindachnerina notonota",-47.536945,-4.378611
"Steindachnerina notonota",-47.546112,-4.111667
"Steindachnerina notonota",-47.270279,-3.455
"Steindachnerina notonota",-47.813333,-2.946944
"Steindachnerina notonota",-47.428055,-1.555
"Steindachnerina notonota",-47.3375,-1.595833
"Steindachnerina notonota",-46.953888,-1.463056
"Steindachnerina notonota",-46.84,-1.59
"Steindachnerina notonota",-46.804167,-1.6375
"Steindachnerina notonota",-46.3125,-1.795833
"Steindachnerina notonota",-45.970833,-2.795833
"Steindachnerina notonota",-45.779167,-2.4875
"Steindachnerina notonota",-45.466389,-3.66
"Steindachnerina notonota",-44.679167,-3.5625
"Steindachnerina notonota",-44.45639,-4.198889
"Steindachnerina notonota",-43.878887,-4.453889
"Steindachnerina notonota",-42.962005,-5.471934
"Steindachnerina notonota",-42.669659,-5.236265
"Steindachnerina notonota",-42.88752,-5.608871
"Steindachnerina notonota",-35.614723,-5.629445
"Steindachnerina notonota",-35.470833,-5.329167
"Steindachnerina notonota",-37.943333,-5.931111
"Steindachnerina notonota",-38.348888,-6.1225
"Steindachnerina notonota",-35.538684,-8.945453
"Steindachnerina notonota",-38.811111,-6.6825
"Steindachnerina notonota",-35.388332,-8.520555
"Steindachnerina notonota",-37.715279,-5.955833
"Steindachnerina notonota",-37.743332,-6.910833
"Steindachnerina notonota",-35.62859,-8.921564
"Steindachnerina notonota",-39.405541,-6.413889
"Steindachnerina notonota",-35.99889,-7.528889
"Steindachnerina notonota",-35.561668,-8.6375
"Steindachnerina notonota",-37.797222,-6.725555
"Steindachnerina notonota",-35.355579,-8.60447
"Steindachnerina notonota",-35.487758,-8.517929
"Steindachnerina notonota",-35.372167,-8.486944
"Steindachnerina notonota",-35.664167,-8.583056
"Steindachnerina notonota",-43.8675,-5.443611
"Steindachnerina notonota",-40.104167,-4.8625
"Steindachnerina notonota",-40.58954,-4.562368
"Steindachnerina notonota",-40.50426,-4.695237
"Steindachnerina notonota",-35.1625,-5.954167
"Steindachnerina notonota",-46.246111,-7.412222
