"specie","longitude","latitude"
"Steindachnerina planiventris",-66.789036,-2.746066
"Steindachnerina planiventris",-76.899987,0.487856
"Steindachnerina planiventris",-59.910506,3.604603
"Steindachnerina planiventris",-73.391681,-3.804681
"Steindachnerina planiventris",-61.542405,-1.563104
"Steindachnerina planiventris",-73.312203,-3.652812
"Steindachnerina planiventris",-66.933902,-2.70384
"Steindachnerina planiventris",-73.2875,-3.729167
"Steindachnerina planiventris",-64.4125,-9.454167
"Steindachnerina planiventris",-59.928956,3.072903
"Steindachnerina planiventris",-60.720833,2.8625
"Steindachnerina planiventris",-73.237458,-3.695383
"Steindachnerina planiventris",-60.06184,3.537978
"Steindachnerina planiventris",-72.7875,-8.945833
"Steindachnerina planiventris",-73.237543,-3.696283
"Steindachnerina planiventris",-60.545332,3.187795
"Steindachnerina planiventris",-75.870833,1.4375
"Steindachnerina planiventris",-73.370833,-3.770833
"Steindachnerina planiventris",-59.6125,3.604167
"Steindachnerina planiventris",-75.881557,0.304569
"Steindachnerina planiventris",-65.376944,-10.431111
"Steindachnerina planiventris",-73.345833,-3.779167
"Steindachnerina planiventris",-59.695833,3.645833
"Steindachnerina planiventris",-65.392876,-10.384177
"Steindachnerina planiventris",-59.986864,2.758798
"Steindachnerina planiventris",-59.812415,3.121974
"Steindachnerina planiventris",-73.1625,-3.829167
"Steindachnerina planiventris",-60.375192,3.168446
"Steindachnerina planiventris",-59.97056,3.218625
"Steindachnerina planiventris",-60.765723,2.470192
"Steindachnerina planiventris",-62.8625,-8.785956
"Steindachnerina planiventris",-59.988552,3.920595
"Steindachnerina planiventris",-73.495833,-3.870833
"Steindachnerina planiventris",-61.852972,-0.697606
"Steindachnerina planiventris",-59.852813,2.970872
"Steindachnerina planiventris",-73.144979,-3.776403
"Steindachnerina planiventris",-59.906113,3.4125
"Steindachnerina planiventris",-59.82132,3.41355
"Steindachnerina planiventris",-73.363889,-3.780972
"Steindachnerina planiventris",-55.529167,-1.820833
"Steindachnerina planiventris",-62.596021,-9.324509
"Steindachnerina planiventris",-60.921625,2.314099
"Steindachnerina planiventris",-73.127684,-3.595282
"Steindachnerina planiventris",-66.970406,-2.983333
"Steindachnerina planiventris",-60.478721,3.830176
"Steindachnerina planiventris",-73.304167,-3.829167
"Steindachnerina planiventris",-73.196515,-3.819557
"Steindachnerina planiventris",-73.61322,-3.881367
"Steindachnerina planiventris",-61.245833,1.945833
"Steindachnerina planiventris",-73.894061,-3.885386
"Steindachnerina planiventris",-60.197698,3.406748
"Steindachnerina planiventris",-60.46957,2.978021
"Steindachnerina planiventris",-62.488945,-8.48456
"Steindachnerina planiventris",-59.795833,3.3625
"Steindachnerina planiventris",-59.81935,3.41058
"Steindachnerina planiventris",-59.671608,3.913933
"Steindachnerina planiventris",-59.829167,3.345833
"Steindachnerina planiventris",-63.845833,-8.6375
"Steindachnerina planiventris",-60.444457,3.626494
"Steindachnerina planiventris",-62.920347,-8.720707
"Steindachnerina planiventris",-73.963508,-3.515069
"Steindachnerina planiventris",-75.538141,0.762093
"Steindachnerina planiventris",-66.230224,-1.738209
"Steindachnerina planiventris",-66.6125,-1.820833
"Steindachnerina planiventris",-61.845,-1.278868
"Steindachnerina planiventris",-61.845833,-1.245833
"Steindachnerina planiventris",-62.879653,-8.538811
"Steindachnerina planiventris",-66.629136,-2.464338
"Steindachnerina planiventris",-60.8625,0.670833
"Steindachnerina planiventris",-61.770833,-1.3875
"Steindachnerina planiventris",-62.877157,-8.670474
"Steindachnerina planiventris",-61.945833,-10.904167
