"specie","longitude","latitude"
"Steindachnerina pupula",-73.554167,3.945833
"Steindachnerina pupula",-72.56,4.31
"Steindachnerina pupula",-67.420833,8.8125
"Steindachnerina pupula",-71.870833,5.5125
"Steindachnerina pupula",-67.48,5.78
"Steindachnerina pupula",-71.120833,5.4875
"Steindachnerina pupula",-71.804167,4.554167
"Steindachnerina pupula",-73.404167,4.879167
"Steindachnerina pupula",-67.595833,8.570833
"Steindachnerina pupula",-64.229167,8.125
"Steindachnerina pupula",-67.504167,8.570833
"Steindachnerina pupula",-64.9714,6.3572
"Steindachnerina pupula",-73.5875,2.370833
"Steindachnerina pupula",-71.5375,4.6875
"Steindachnerina pupula",-65.9625,8.320833
"Steindachnerina pupula",-72.416667,5.6125
"Steindachnerina pupula",-73.479167,3.929167
"Steindachnerina pupula",-70.898944,6.820222
"Steindachnerina pupula",-71.704167,5.4625
"Steindachnerina pupula",-71.113889,6.997806
"Steindachnerina pupula",-71.579167,6.195833
"Steindachnerina pupula",-65.1625,7.1956
"Steindachnerina pupula",-67.4875,7.8875
"Steindachnerina pupula",-67.4125,6.179167
"Steindachnerina pupula",-70.670833,7.9375
"Steindachnerina pupula",-67.613237,6.286175
"Steindachnerina pupula",-71.879167,6.854167
"Steindachnerina pupula",-61.9875,8.670833
"Steindachnerina pupula",-71.2875,7.2125
"Steindachnerina pupula",-71.769194,6.330694
"Steindachnerina pupula",-73.504417,3.846118
"Steindachnerina pupula",-71.395833,6.8375
"Steindachnerina pupula",-73.595833,2.3875
"Steindachnerina pupula",-73.629167,3.920833
"Steindachnerina pupula",-72.4875,5.2625
"Steindachnerina pupula",-71.120833,4.870833
"Steindachnerina pupula",-70.927972,5.660389
"Steindachnerina pupula",-73.104167,4.329167
"Steindachnerina pupula",-71.5875,6.204167
"Steindachnerina pupula",-73.6625,3.420833
"Steindachnerina pupula",-69.2875,6.6625
"Steindachnerina pupula",-71.629167,6.7625
"Steindachnerina pupula",-71.749056,6.330389
"Steindachnerina pupula",-70.9875,2.754167
"Steindachnerina pupula",-73.454167,3.870833
"Steindachnerina pupula",-72.7625,4.620833
"Steindachnerina pupula",-72.2125,5.5125
"Steindachnerina pupula",-67.454167,6.195833
"Steindachnerina pupula",-67.620833,5.595833
"Steindachnerina pupula",-71.12,5.49
"Steindachnerina pupula",-71.2125,5.7125
"Steindachnerina pupula",-64.904167,6.770833
"Steindachnerina pupula",-73.220833,4.720833
"Steindachnerina pupula",-73.345833,3.945833
"Steindachnerina pupula",-73.5875,2.3875
"Steindachnerina pupula",-73.554167,4.604167
"Steindachnerina pupula",-73.629997,2.350667
"Steindachnerina pupula",-71.354167,4.779167
"Steindachnerina pupula",-72.7125,4.604167
"Steindachnerina pupula",-73.879278,2.292528
"Steindachnerina pupula",-73.859972,2.195
"Steindachnerina pupula",-70.958333,5.670833
"Steindachnerina pupula",-71.1,5.71
"Steindachnerina pupula",-72.3875,4.904167
"Steindachnerina pupula",-67.472114,7.900748
"Steindachnerina pupula",-72.754167,4.504167
"Steindachnerina pupula",-64.9733,6.3639
"Steindachnerina pupula",-71.4875,5.9125
"Steindachnerina pupula",-71.638931,4.794265
"Steindachnerina pupula",-67.454167,7.420833
"Steindachnerina pupula",-73.945833,2.545833
"Steindachnerina pupula",-67.645833,6.204167
"Steindachnerina pupula",-72.68,4.93
"Steindachnerina pupula",-66.2125,7.654167
"Steindachnerina pupula",-69.670833,8.354167
"Steindachnerina pupula",-71.80208,4.55242
"Steindachnerina pupula",-72.095833,4.445833
"Steindachnerina pupula",-71.4625,5.945833
"Steindachnerina pupula",-71.454167,5.945833
"Steindachnerina pupula",-73.934389,2.534083
"Steindachnerina pupula",-71.618297,6.232167
"Steindachnerina pupula",-71.838611,5.577972
"Steindachnerina pupula",-71.5375,6.2125
"Steindachnerina pupula",-72.625,4.629167
"Steindachnerina pupula",-71.404167,6.420833
"Steindachnerina pupula",-71.4722,5.43333
"Steindachnerina pupula",-72.720833,4.395833
"Steindachnerina pupula",-71.645833,2.820833
"Steindachnerina pupula",-64.8875,7.629167
"Steindachnerina pupula",-68.115,9.540278
"Steindachnerina pupula",-67.795833,6.295833
"Steindachnerina pupula",-71.62,6.23
"Steindachnerina pupula",-72.695833,4.320833
"Steindachnerina pupula",-70.279167,6.7625
"Steindachnerina pupula",-66.695833,7.6625
"Steindachnerina pupula",-71.520833,6.2125
"Steindachnerina pupula",-72.708333,4.3875
"Steindachnerina pupula",-73.3875,3.504167
"Steindachnerina pupula",-73.929167,2.529167
"Steindachnerina pupula",-71.595833,4.5125
"Steindachnerina pupula",-72.420083,5.381417
"Steindachnerina pupula",-72.545833,4.304167
"Steindachnerina pupula",-73.593556,2.386278
"Steindachnerina pupula",-68.7375,9.4375
"Steindachnerina pupula",-71.595833,6.2125
"Steindachnerina pupula",-72.979167,4.6125
"Steindachnerina pupula",-72.6,4.933333
"Steindachnerina pupula",-73.604167,4.7875
"Steindachnerina pupula",-73.179167,4.370833
"Steindachnerina pupula",-72.529167,4.629167
"Steindachnerina pupula",-73.587861,2.390806
"Steindachnerina pupula",-71.296167,7.700833
"Steindachnerina pupula",-71.486444,5.934417
"Steindachnerina pupula",-73.8875,2.295833
"Steindachnerina pupula",-71.179167,5.445833
"Steindachnerina pupula",-71.486389,5.934444
"Steindachnerina pupula",-72.120833,4.654167
"Steindachnerina pupula",-73.580889,3.942444
"Steindachnerina pupula",-73.620833,2.345833
"Steindachnerina pupula",-68.6125,3.779167
"Steindachnerina pupula",-70.4625,5.529167
"Steindachnerina pupula",-70.479167,6.995833
"Steindachnerina pupula",-71.80208,4.552417
"Steindachnerina pupula",-72.179167,4.704167
"Steindachnerina pupula",-72.105278,4.641111
"Steindachnerina pupula",-69.8625,6.395833
"Steindachnerina pupula",-70.724167,5.258611
"Steindachnerina pupula",-71.5625,6.204167
"Steindachnerina pupula",-70.214167,5.589444
"Steindachnerina pupula",-68.209444,3.965556
"Steindachnerina pupula",-71.554167,6.179167
"Steindachnerina pupula",-70.1375,6.104167
"Steindachnerina pupula",-71.80225,4.553056
"Steindachnerina pupula",-73.9125,2.2125
"Steindachnerina pupula",-69.625,6.204167
