"specie","longitude","latitude"
"Steindachnerina quasimodoi",-70.7625,-3.920833
"Steindachnerina quasimodoi",-73.370833,-3.770833
"Steindachnerina quasimodoi",-73.89536,-3.49618
"Steindachnerina quasimodoi",-71.654634,-11.692532
"Steindachnerina quasimodoi",-70.974679,-12.221724
"Steindachnerina quasimodoi",-70.487366,-12.686766
"Steindachnerina quasimodoi",-71.405643,-3.765084
"Steindachnerina quasimodoi",-72.440709,-3.776505
"Steindachnerina quasimodoi",-73.595833,-7.454167
"Steindachnerina quasimodoi",-71.8625,-3.329167
"Steindachnerina quasimodoi",-73.277305,-3.712161
"Steindachnerina quasimodoi",-72.662,-5.003
"Steindachnerina quasimodoi",-71.771,-3.197
"Steindachnerina quasimodoi",-73.059306,-7.443194
"Steindachnerina quasimodoi",-70.166,-4.278
"Steindachnerina quasimodoi",-71.804,-11.653
"Steindachnerina quasimodoi",-71.704,-11.664
"Steindachnerina quasimodoi",-71.329,-11.955
"Steindachnerina quasimodoi",-71.096,-12.113
"Steindachnerina quasimodoi",-71.021,-12.171
"Steindachnerina quasimodoi",-71.608983,-3.760568
"Steindachnerina quasimodoi",-71.945833,-4.595833
"Steindachnerina quasimodoi",-72.00921,-3.370161
"Steindachnerina quasimodoi",-73.61322,-3.881367
"Steindachnerina quasimodoi",-73.354851,-3.600016
"Steindachnerina quasimodoi",-72.946849,-5.44776
"Steindachnerina quasimodoi",-72.6125,-5.029167
"Steindachnerina quasimodoi",-72.288331,-3.217053
"Steindachnerina quasimodoi",-70.043307,-4.331889
