"specie","longitude","latitude"
"Steindachnerina seriata",-55.270833,-8.170833
"Steindachnerina seriata",-55.220833,-8.170833
"Steindachnerina seriata",-55.398,-7.268
"Steindachnerina seriata",-54.986492,-9.09794
"Steindachnerina seriata",-56.971,-9.231
"Steindachnerina seriata",-55.102,-10.155
"Steindachnerina seriata",-55.23,-10.108
"Steindachnerina seriata",-55.227,-10.997
"Steindachnerina seriata",-58.233056,-10.087354
"Steindachnerina seriata",-55.329,-8.331
"Steindachnerina seriata",-55.312,-7.295
"Steindachnerina seriata",-55.437,-7.064
