"specie","longitude","latitude"
"Steindachnerina varii",-54.778472,4.41324
"Steindachnerina varii",-53.945295,4.121293
"Steindachnerina varii",-55.1875,5.170833
"Steindachnerina varii",-54.879963,5.5173
"Steindachnerina varii",-52.091,3.474
"Steindachnerina varii",-54.1478,5.31844
"Steindachnerina varii",-55.405,3.197
"Steindachnerina varii",-54.063,3.325
"Steindachnerina varii",-51.87,3.813
"Steindachnerina varii",-52.871,2.255
"Steindachnerina varii",-52.335348,4.185823
"Steindachnerina varii",-53.897778,5.4425
"Steindachnerina varii",-52.363056,3.009722
"Steindachnerina varii",-53.636944,4.743056
"Steindachnerina varii",-53.24865,4.67709
"Steindachnerina varii",-52.338333,3.054167
"Steindachnerina varii",-52.47,3.17
"Steindachnerina varii",-54.08891,5.05173
"Steindachnerina varii",-52.879169,2.245955
"Steindachnerina varii",-52.79614,2.846084
"Steindachnerina varii",-52.437618,3.221163
"Steindachnerina varii",-52.337978,3.145776
"Steindachnerina varii",-51.895241,3.795717
"Steindachnerina varii",-53.757739,2.954288
"Steindachnerina varii",-53.745279,3.587056
"Steindachnerina varii",-53.812341,3.612506
"Steindachnerina varii",-53.81182,3.545249
"Steindachnerina varii",-53.22944,3.920994
"Steindachnerina varii",-53.545991,4.029821
"Steindachnerina varii",-54.1543,3.989558
"Steindachnerina varii",-53.86286,4.245728
"Steindachnerina varii",-53.41397,4.588098
"Steindachnerina varii",-53.354908,4.546313
"Steindachnerina varii",-53.645085,4.987037
"Steindachnerina varii",-53.970075,4.944773
"Steindachnerina varii",-54.071385,4.973495
"Steindachnerina varii",-54.012871,4.721992
"Steindachnerina varii",-53.020194,5.238024
"Steindachnerina varii",-53.036954,5.053528
"Steindachnerina varii",-54.495984,4.729322
"Steindachnerina varii",-54.879621,4.880478
"Steindachnerina varii",-55.186804,5.170626
"Steindachnerina varii",-55.111538,5.24639
"Steindachnerina varii",-53.995247,5.370958
"Steindachnerina varii",-54.038411,5.412379
"Steindachnerina varii",-54.046106,5.45382
